,Agent Name,Agency Name,Website,Contact Method,Debut Authors,Generes,Previous Clients,Location
31,Andrea Somberg,"Harvey Klinger, Inc.",https://www.harveyklinger.com/,Email,☑️ Interested in debut authors,"Fiction, Chick Lit, Commercial Fiction, Fantasy, Historical Fiction, Humor, Literary Fiction, Mystery, Romance, Science Fiction, Thriller, Women's Fiction, Young Adult, Nonfiction, Business Book, Cookbook, Memoir, Narrative Nonfiction, Self-Help, Sports, Children's Book, Middle Grade, Diverse Fiction","Sarah Beth Durst, Erin Celello, B.A. Binns, Jessica Warman, Christopher Lee Barish, Lyla Ward","New York City, US"
32,Marya Spence,Janklow & Nesbit Associates,http://www.janklowandnesbit.com/,Email,None,"Fiction, Commercial Fiction, Humor, Literary Fiction, Poetry, Nonfiction, Memoir, Narrative Nonfiction","Jess Arndt, Gabriella Burnham, Arabelle Sicardi, Yrsa Daley-Ward","New York, US"
33,Caitlin Blasdell,Liza Dawson Associates,https://www.lizadawsonassociates.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Fantasy, Mystery, Science Fiction, Thriller, Women's Fiction, Young Adult, Middle Grade","Zen Cho, Charles Stross, Sarah Prineas, John Levitt, Rachel Neumeier","New York City, US"
34,Jim McCarthy,"Dystel, Goderich & Bourret",https://www.dystel.com/,Email,☑️ Interested in debut authors,"Fiction, Action & Adventure, Commercial Fiction, Fantasy, Historical Fiction, Literary Fiction, Mystery, Romance, Science Fiction, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Children's Book, Middle Grade, Diverse Fiction, LGBTQ, Business Book, Cookbook, Humor, Narrative Nonfiction, New Adult, Politics, Sports","Richelle Mead, Cynthia Ceilan, Victoria Laurie, Carrie Ryan, Julia Templeton, Michelle Rowen","New York City, US"
35,Jennifer Azantian,Azantian Literary Agency,http://www.azantianlitagency.com/,Online submission form,☑️ Interested in debut authors,"Fiction, Fantasy, Graphic Novel, Science Fiction, Young Adult, Children's Book, Middle Grade, Diverse Fiction, BIPOC, LGBTQ","S. A. Chakraborty, Heidi Lang, L.D. Lewis, Gwendolyn Clare","San Francisco, US"
36,Monika Verma,Levine Greenberg Rostan Literary Agency,https://lgrliterary.com/,Email,None,"Humor, Nonfiction, Memoir, Narrative Nonfiction","Nick Offerman, Janie Bryant, Allie Brosh","New York, US"
37,Emma Patterson,"Brandt & Hochman Literary Agents, Inc.",https://brandthochman.com/,Email,None,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction","Patrick Arden, Louise Aronson, Rita Mae Brown, Kim Church","New York, US"
38,Margaret Sutherland Brown,Folio Literary Management,https://www.foliolit.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Thriller, Nonfiction, Narrative Nonfiction","Kelly Carlisle, Teresa Link, Jill Orr","New York City, US"
39,Sam Stoloff,"Frances Goldin Literary Agency, Inc.",http://www.goldinlit.com/,Email,None,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Historical Fiction","Susan Bordo, Monica Byrne, Mandy Catron, Pratap Chatterjee, Julia Scheeres, Heather O'Neill","New York, US"
40,Stephanie Tade,Stephanie Tade Agency,http://www.stephanietadeagency.com/,Email,None,"Nonfiction, Memoir, Self-Help, Spirituality","Jeff Corwin, Bob Stahl, Elisha Goldstein, Chris Downie, Kevin Griffin","Philadelphia, US"
41,Bonnie Nadell,Hill Nadell Literary Agency,https://www.hillnadell.com/,Online submission form,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Literary Fiction, Thriller, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics","David Foster Wallace, Antonya Nelson, Lynn Schooler, Richard Polsky, Kate Racculia","Los Angeles, US"
42,Andrea Morrison,Writers House,http://www.writershouse.com/,Email,None,"Fiction, Literary Fiction, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction","Hillary Frank, Shreya Gupta, Diana Sudyka, Aja Gabel, Aimee Sicuro","New York City, US"
43,Jennifer Weltz,Jean V. Naggar Literary Agency,http://www.jvnla.com,Email,None,"Fiction, Commercial Fiction, Fantasy, Historical Fiction, Literary Fiction, Thriller, Nonfiction, Narrative Nonfiction, Children's Book, Middle Grade","Eva Holland, Carl Safina, Nancy Springer, Molly Greeley, Wendy Webb","New York, US"
44,Lauren Spieller,Triada US Literary Agency,http://www.triadaus.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Fantasy, Science Fiction, Thriller, Young Adult, Nonfiction, Cookbook, Narrative Nonfiction, Children's Book, Middle Grade, Diverse Fiction, BIPOC, Feminism, LGBTQ","Laura Weymouth, Jen Wilde, Wendy Heard, Marilou Reeder, Erica Waters","Pittsburgh, US"
45,Steven Malk,Writers House,http://www.writershouse.com/,Email,None,"Fiction, Young Adult, Children's Book, Middle Grade","Bob Shea, Michelle Zink, Matt de la Pena, Marla Frazee, Mac Barnett","San Diego, US"
46,Kimberly Witherspoon,InkWell Management,http://inkwellmanagement.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Cookbook, Fantasy, Middle Grade, Mystery, Romance, Science Fiction, Short Story, Thriller, Women's Fiction, Young Adult","Anthony Bourdain, Cindy Crawford, Lena Dunham, Dean Koontz, José Andrés","New York, US"
47,Susan Golomb,Writers House,http://www.writershouse.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction","Jonathan Franzen, Krys Lee, William T. Vollman, Rachel Kushner, Imbolo Mbue","New York City, US"
48,Molly Ker Hawn,The Bent Agency,http://www.thebentagency.com/,Online submission form,☑️ Interested in debut authors,"Fiction, Graphic Novel, Young Adult, Nonfiction, Children's Book, Middle Grade","Hilary McKay, Matt Killeen, Bonnie-Sue Hitchcock, Alwyn Hamilton, Heidi Heilig","London, GB"
49,Sorche Fairbank,Fairbank Literary Representation,http://www.fairbankliterary.com/,Email,☑️ Interested in debut authors,"Fiction, Humor, Literary Fiction, Mystery, Thriller, Nonfiction, Cookbook, Memoir, Narrative Nonfiction, Self-Help, Children's Book, Middle Grade, Picture Book, Diverse Fiction, Feminism","Terry Border, Neil Landau, Matt Frederick, Craig Tracy","New York City, US"
50,Pete Knapp,Park & Fine Literary and Media,http://www.parkfine.com/,Email,☑️ Interested in debut authors,"Fiction, Fantasy, Science Fiction, Children's Book, Middle Grade","Daniel Aleman, Julia Drake, Adalyn Grace, Ayana Gray, Sara Holland, Lucy Keating","New York, US"
51,Douglas Stewart,Sterling Lord Literistic Inc.,https://www.sll.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Mystery, Women's Fiction","David Mitchell, Jeanine Cummins, Matthew Quick, Rye Curtis","New York, US"
52,Meg Thompson,Thompson Literary Agency,https://thompsonliterary.com/,Email,None,"Nonfiction, Cookbook, Memoir, Narrative Nonfiction, Politics, Spirituality, Sports, Commercial Fiction, Literary Fiction","Lisa Leake, Ken Denmead, Kelle Hampton, Tom Hart, Tim Kreider, Emily Flake","New York, US"
53,Mel Parker,"Mel Parker Books, LLC",http://melparkerbooks.com/,Email,None,"Fiction, Mystery, Thriller, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Spirituality","Jon Birger, Mick Cornett, Dickson Despommier, Emily Parker, Robert McCaw","New York, US"
54,Cassandra Rodgers,5 Otter Literary,https://fiveotterliterary.com/,Email,None,"Fiction, Commercial Fiction, Historical Fiction, Thriller, Nonfiction, Business Book, Memoir, Politics, Sports","Dayle Furlong, Gabriele Wills, James R. Wallen, Kath Jonathan","Toronto, CA"
55,Ginger Knowlton,"Curtis Brown, Ltd.",https://curtisbrown.com/,Email,☑️ Interested in debut authors,"Fiction, Young Adult, Children's Book, Middle Grade, Nonfiction, Picture Book","Gail Carson Levine, Wendelin Van Draanen, Jonah Winter, Helen Frost","New York City, US"
56,Marc Gerald,Europa Content,https://europacontent.com/,Email,None,"Fiction, Thriller, Nonfiction, Business Book, Cookbook, Spirituality, Sports, Children's Book","Eminem, Mel Robbins, Kevin Hart, 50 Cent, Isa Moskowitz, Quincy Jones","New York, US"
57,Mitchell S. Waters,"Brandt & Hochman Literary Agents, Inc.",https://brandthochman.com/,Email,None,"Fiction, Commercial Fiction, Historical Fiction, Humor, Literary Fiction, Mystery, Young Adult, Nonfiction, Christian, Cookbook, Memoir, Narrative Nonfiction, Self-Help","Joy Castro, Sarah Schulman, Michael Thomas Ford, Laurel Ann Nattress, Vestal McIntyre","New York, US"
58,Brian DeFiore,DeFiore and Company,http://www.defliterary.com/,Email,None,"Fiction, Commercial Fiction, Humor, Literary Fiction, Young Adult, Nonfiction, Cookbook, Memoir, Narrative Nonfiction, Self-Help, Sports","Brandon Stanton, Frank Warren, David Potter, Benjamin Hale, Tom Ryan, Rick Yancey","New York, US"
59,Gemma Cooper,The Bent Agency,http://www.thebentagency.com/,Online submission form,☑️ Interested in debut authors,"Fiction, Graphic Novel, Young Adult, Children's Book, Middle Grade","B.B. Alston, Derek Bacon, Ruth Fitzgerald, Shirley Marr","London, GB"
60,Tamar Rydzinski,Context Literary Agency,https://www.contextlit.com/,Email,None,"Fiction, Fantasy, Romance, Young Adult, Children's Book, Middle Grade","Danielle L. Jensen, Bryan Denson, Bruce Goldfarb, Nina Berry, Robin Constantine","New York, US"
61,Holly Root,Root Literary,https://www.rootliterary.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Fantasy, Science Fiction, Women's Fiction, Young Adult, Nonfiction","V.E. Schwab, Alison Cherry, Megan Crane, Kari Dell, Rae Carson","Los Angeles, US"
62,Simon Lipskar,Writers House,http://www.writershouse.com/,Email,None,"Fiction, Commercial Fiction, Fantasy, Literary Fiction, Science Fiction, Thriller, Young Adult, Nonfiction, Memoir, Narrative Nonfiction","Dan Vyleta, Steven Sherrill, Karen Bao, Stephen Dyer, Jonah Lisa Dyer","New York, US"
63,Faye Bender,The Book Group,http://www.thebookgroup.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Young Adult, Children's Book, Middle Grade, Memoir, Politics, Self-Help, Thriller","Rainey Hopson, Courtney Summers, Melissa Albert, Angeline Boulley","New York City, US"
64,Elaine Spencer,The Knight Agency,http://www.knightagency.net/,Email,☑️ Interested in debut authors,"Fiction, Historical Fiction, Humor, Mystery, Romance, Women's Fiction, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Self-Help, Diverse Fiction","Sara Ackerman, Joy Avery, Dakota Cassidy, Laure Greer, Carlos Evans","Atlanta, US"
65,Gail Ross,Ross Yoon Literary Agency,https://www.rossyoon.com/,Email,☑️ Interested in debut authors,"Nonfiction, Memoir, Narrative Nonfiction, Politics, Business Book, Commercial Fiction, Spirituality","Joshua Green, Van Jones, James Clapper, Michael Isikoff, David Corn","Washington DC, US"
66,Morton L. Janklow,Janklow & Nesbit Associates,http://www.janklowandnesbit.com/,Email,None,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics","Danielle Steel, Thomas Harris, Barbara Walters, Anne Rice, Andy Borowitz, Pope John Paul II","New York, US"
67,Alexandra Machinist,ICM Partners,https://www.icmpartners.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Fantasy, Historical Fiction, Literary Fiction, Thriller, Women's Fiction, Young Adult, Memoir, Middle Grade","Kevin Kwan, Martha Hall, Jen Sincero, Tomi Adeyemi, Beatriz Williams, Sabaa Tahir","Los Angeles, US"
68,Jenny Bent,The Bent Agency,,,,"Fiction, Commercial Fiction, Humor, Literary Fiction, Romance, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Self-Help, Children's Book, Middle Grade, Diverse Fiction, African-American, BIPOC","AG Howard, Lori Wilde, Julia London, Lynsay Sands, Lori Nelson Spielman, Amy Bourret",🌍 Location  -
69,Celeste Fine,Park & Fine Literary and Media,http://www.parkfine.com/,Email,None,"Nonfiction, Memoir, Narrative Nonfiction, Commercial Fiction, Thriller, Young Adult","Sara Gottfried, Amanda Steinberg, Dave Asprey, J.J. Virgin, Joseph Pizzorno","New York, US"
70,Lisa Leshne,The Leshne Agency,http://www.leshneagency.com/,Email,☑️ Interested in debut authors,"Fiction, Graphic Novel, Historical Fiction, Thriller, Young Adult, Nonfiction, Business Book, Cookbook, Memoir, Narrative Nonfiction, Politics, Spirituality, Sports, Children's Book, Middle Grade, Diverse Fiction, Feminism","Julissa Arce, Leslie Lehr, Christie Pearce Rampone, AJ Mendez, Ivan Klima","New York City, US"
71,Laura Blake Peterson,"Curtis Brown, Ltd.",https://curtisbrown.com/,Email,None,"Fiction, Chick Lit, Commercial Fiction, Literary Fiction, Mystery, Thriller, Women's Fiction, Young Adult, Nonfiction, Christian, Memoir, Spirituality, Children's Book, Middle Grade","Kathleen Dean Moore, Wendy Corsi Staub, Thor Hanson","New York, US"
72,Laurie McLean,Fuse Literary,http://fuseliterary.com/,Email,☑️ Interested in debut authors,"Fiction, Fantasy, Horror, Mystery, Romance, Science Fiction, Thriller, Young Adult, Children's Book, Middle Grade, Action & Adventure, Diverse Fiction","Julie Kagawa, Brian D. Anderson, Pip Ballantine, Melissa D. Savage, Linda Wisdom","San Francisco, US"
73,Stephen Barr,Writers House,http://www.writershouse.com/,Email,None,"Fiction, Graphic Novel, Humor, Literary Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Children's Book, Middle Grade, Picture Book","David Macaulay, F.C. Yee, John Corey Whaley, Maggie Thrash, Christopher Silas Neal","New York, US"
74,Frank Weimann,Folio Literary Management,https://www.foliolit.com/,Email,None,"Humor, Nonfiction, Business Book, Christian, Memoir, Narrative Nonfiction, Spirituality, Sports","Kareem Abdul-Jabbar, Laura Prepon, Bill Russell, Dan Abrams, Gregg Allman","New York City, US"
75,Jennifer DeChiara,Jennifer DeChiara Literary Agency,https://www.jdlit.com/,Email,None,"Fiction, Chick Lit, Commercial Fiction, Literary Fiction, Mystery, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Self-Help, Spirituality, Children's Book, Middle Grade, Picture Book, Diverse Fiction, LGBTQ","Brent Hartinger, Richard Mintzer, Jeff Anderson, Franco Aureliani","New York, US"
76,Dorian Karchmar,William Morris Endeavor,https://www.wmeagency.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Short Story, Women's Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Diverse Fiction, Feminism, LGBTQ, Self-Help","Alexandra Curry, Marc Estrin, Robert Rosenberg, Patricia Wood, Kate Jacobs","Los Angeles, US"
77,Sarah Burnes,The Gernert Company,http://www.thegernertco.com/,Email,None,"Fiction, Literary Fiction, Young Adult, Nonfiction, Narrative Nonfiction, Children's Book, Middle Grade","Kieran Scott, Adam Gidwitz, Susan Burton, Rachel Kadish","New York, US"
78,Molly Friedrich,The Friedrich Agency,http://www.friedrichagency.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Diverse Fiction, Humor, Mystery, Short Story, Thriller","Jane Smiley, Frank McCourt, Terry McMillan, Melissa Bank, Leslie Daniels, Alison Espach","New York City, US"
79,Erin Niumata,Folio Literary Management,https://www.foliolit.com/,Email,None,"Fiction, Commercial Fiction, Historical Fiction, Humor, Mystery, Romance, Thriller, Women's Fiction, Nonfiction, Cookbook, Memoir, Narrative Nonfiction, Self-Help, Spirituality","Carolyn Brown, Sandy Robins, Amy Clark, Josh Shipp, James Guiliani","New York City, US"
80,Laura Langlie,Laura Langlie Agency,,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Crime Fiction, Historical Fiction, Humor, Literary Fiction, Mystery, Romance, Thriller, Young Adult, Nonfiction, Memoir, Politics, Diverse Fiction, LGBTQ","Joan Druett, Meg Cabot, Malinda Lo, Mary Hogan, Renee Ashley, Meg Tilly","New York City, US"
81,Felicity Blunt,Curtis Brown UK,https://www.curtisbrown.co.uk/,Email,None,"Fiction, Crime Fiction, Historical Fiction, Literary Fiction, Science Fiction, Thriller, Young Adult","Jeffrey Deaver, Jennifer Egan, Abi Dare, Daphne du Maurier, Jilly Cooper","London, GB"
82,Susan Hawk,Upstart Crow Literary,http://www.upstartcrowliterary.com/,Email,None,"Fiction, Young Adult, Children's Book, Middle Grade, Picture Book","Rachael Allen, Marcie Colleen, Alison Oliver, Ruth Spiro, Sarah Tolcser, Shelley Tougas, Lisa Tyre","New York, US"
83,Don Congdon,Don Congdon Associates,http://www.doncongdon.com/,Email,None,"Action & Adventure, Nonfiction, Narrative Nonfiction, Politics","Ray Bradbury, William Styron, Jack Finney, Evan S. Connell","New York, US"
84,Cecilia Lyra,P.S. Literary Agency,https://www.psliterary.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Nonfiction, Business Book, Memoir, Diverse Fiction, BIPOC, Feminism, LGBTQ","Lene Andersen, Jenna Ferrey, Amy Rosen, Jessica Hinkson","Toronto, CA"
85,Kevan Lyon,"Marsal Lyon Literary Agency, LLC",https://www.marsallyonliteraryagency.com/,Email,None,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Mystery, Romance, Women's Fiction, Young Adult","Kate Quinn, Jennifer L. Armentrout, Laura Kaye, Stephanie Dray","San Diego, US"
86,Johanna Castillo,Writers House,http://www.writershouse.com/,Email,None,"Fiction, Romance, Thriller, Young Adult, Nonfiction, Spirituality, Children's Book, Middle Grade, Diverse Fiction, #ownvoices, BIPOC, Commercial Fiction, Narrative Nonfiction","Isabel Allende, Justin Baldoni, Emily Baldoni, Victoria Alonso, Leila Meacham, Reyna Grande","New York, US"
87,Matthew Bialer,Sanford J. Greenburger Associates,https://www.greenburger.com/,Email,☑️ Interested in debut authors,"Fiction, Fantasy, Mystery, Science Fiction, Thriller, Nonfiction, Narrative Nonfiction, Sports, Literary Fiction","Patrick Rothfuss, Tad Williams, Tracy Hickman, Margaret Weis, Dale Bailey, Kathleen O'Neal Gear","New York City, US"
