Nombre,Periodos parlamentarios,Comunas,Distrito,Región,Período Actual,Partido,Bancada,Email
Héctor Barría Angulo,2022-2026,"Osorno, Llanquihue, Fresia, Puerto Varas, San Pablo, Puyehue, Puerto Octay, Frutillar, San Juan de la Costa, Purranque, Los Muermos, Río Negro",25,Región de Los Lagos,2022-2026,,Demócrata Cristiano,hector.barria@congreso.cl
Miguel Ángel Becker Alvear,2022-2026,"Freire, Temuco, Pitrufquén, Loncoche, Carahue, Saavedra, Cholchol, Padre Las Casas, Nueva Imperial, Cunco, Pucón, Curarrehue, Toltén, Teodoro Schmidt, Villarrica, Gorbea",23,Región de La Araucanía,2022-2026,,Renovación Nacional,miguel.becker@congreso.cl
María Francisca Bello Campos,2022-2026,"Papudo, Zapallar, Quillota, Hijuelas, Los Andes, Quintero, San Felipe, Panquehue, Villa Alemana, La Ligua, Puchuncaví, Santa María, Llay Llay, Petorca, Nogales, San Esteban, Putaendo, Cabildo, Calle Larga, Rinconada, Quilpué, Calera, La Cruz, Catemu, Olmué, Limache",6,Región de Valparaíso,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",mariafrancisca.bello@congreso.cl
Juan Carlos Beltrán Silva,2022-2026,"Renaico, Lonquimay, Angol, Purén, Lautaro, Lumaco, Curacautín, Galvarino, Ercilla, Victoria, Perquenco, Los Sauces, Vilcún, Collipulli, Traiguén, Melipeuco",22,Región de La Araucanía,2022-2026,,Renovación Nacional,juancarlos.beltran@congreso.cl
Gustavo Benavente Vergara,2022-2026,"Retiro, Chanco, Parral, Colbún, Villa Alegre, Yerbas Buenas, Longaví, Pelluhue, San Javier, Linares, Cauquenes",18,Región del Maule,2022-2026,,Unión Demócrata Independiente,gustavo.benavente@congreso.cl
Bernardo Berger Fett,"2014-2018, 2018-2022, 2022-2026","Panguipulli, Los Lagos, Lanco, Futrono, La Unión, Mariquina, Paillaco, Lago Ranco, Valdivia, Máfil, Corral, Río Bueno",24,Región de Los Ríos,2022-2026,,Renovación Nacional,bernardo.berger@congreso.cl
Alejandro Bernales Maldonado,"2018-2022, 2022-2026","Puerto Montt, Chonchi, Quemchi, Quinchao, Hualaihué, Calbuco, Curaco de Vélez, Queilén, Cochamó, Maullín, Futaleufú, Palena, Quellón, Castro, Ancud, Dalcahue, Puqueldón, Chaitén",26,Región de Los Lagos,2022-2026,,Comité Radical - Liberal,alejandro.bernales@congreso.cl
Carlos Bianchi Chelech,2022-2026,"Río Verde, Laguna Blanca, Torres del Paine, Primavera, Natales, Punta Arenas, Porvenir, Antártica, Timaukel, San Gregorio, Cabo de Hornos",28,Región de Magallanes y de la Antártica Chilena,2022-2026,,Partido Por la Democracia,carlos.bianchi@congreso.cl
Sergio Bobadilla Muñoz,"2006-2010, 2010-2014, 2018-2022, 2022-2026","Hualpén, Tomé, Penco, Concepción, Hualqui, Chiguayante, Florida, San Pedro de la Paz, Coronel, Santa Juana, Talcahuano",20,Región del Bío Bío,2022-2026,,Unión Demócrata Independiente,sergio.bobadilla@congreso.cl
Fernando Bórquez Montecinos,2022-2026,"Puerto Montt, Chonchi, Quemchi, Quinchao, Hualaihué, Calbuco, Curaco de Vélez, Queilén, Cochamó, Maullín, Futaleufú, Palena, Quellón, Castro, Ancud, Dalcahue, Puqueldón, Chaitén",26,Región de Los Lagos,2022-2026,,Unión Demócrata Independiente,fernando.borquez@congreso.cl
Ana María Bravo Castro,2022-2026,"Panguipulli, Los Lagos, Lanco, Futrono, La Unión, Mariquina, Paillaco, Lago Ranco, Valdivia, Máfil, Corral, Río Bueno",24,Región de Los Ríos,2022-2026,,Socialista,anamaria.bravo@congreso.cl
Marta Bravo Salinas,2022-2026,"Pinto, Quillón, San Ignacio, Coihueco, Ninhue, Ránquil, San Nicolás, Bulnes, Yungay, Portezuelo, Ñiquén, El Carmen, San Carlos, Chillán Viejo, Treguaco, Chillán, Pemuco, Quirihue, Cobquecura, Coelemu, San Fabián",19,Región de Ñuble,2022-2026,,Unión Demócrata Independiente,marta.bravo@congreso.cl
Jorge Brito Hasbún,"2018-2022, 2022-2026","Viña del Mar, Santo Domingo, El Quisco, Casablanca, Valparaíso, Isla de Pascua, Concón, San Antonio, Algarrobo, Juan Fernández, Cartagena, El Tabo",7,Región de Valparaíso,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",jorge.brito@congreso.cl
Félix Bugueño Sotelo,2022-2026,"Placilla, Nancagua, Litueche, Peumo, Lolol, Marchihue, La Estrella, Pichilemu, Pumanque, San Fernando, Peralillo, Chimbarongo, San Vicente, Pichidegua, Las Cabras, Chépica, Santa Cruz, Palmilla, Navidad, Paredones",16,Región del Libertador General Bernardo O' Higgins,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",felix.bugueno@congreso.cl
Mercedes Bulnes Núñez,2022-2026,"Sagrada Familia, Hualañé, Curepto, Teno, Talca, Empedrado, Pelarco, San Rafael, Romeral, Molina, Curicó, Licantén, Vichuquén, Rauco, Constitución, Pencahue, San Clemente, Río Claro, Maule",17,Región del Maule,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",mercedes.bulnes@congreso.cl
Miguel Ángel Calisto Águila,"2018-2022, 2022-2026","Coyhaique, Aysén, Chile Chico, O'Higgins, Cochrane, Guaitecas, Cisnes, Lago Verde, Tortel, Río Ibáñez",27,Región de Aysén del General Carlos Ibáñez del Campo,2022-2026,,Demócrata Cristiano,miguelangel.calisto@congreso.cl
Felipe Camaño Cárdenas,2022-2026,"Pinto, Quillón, San Ignacio, Coihueco, Ninhue, Ránquil, San Nicolás, Bulnes, Yungay, Portezuelo, Ñiquén, El Carmen, San Carlos, Chillán Viejo, Treguaco, Chillán, Pemuco, Quirihue, Cobquecura, Coelemu, San Fabián",19,Región de Ñuble,2022-2026,,Demócrata Cristiano,felipe.camano@congreso.cl
Karol Cariola Oliva,"2014-2018, 2018-2022, 2022-2026","Conchalí, Huechuraba, Cerro Navia, Renca, Lo Prado, Recoleta, Independencia, Quinta Normal",9,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",karol.cariola@congreso.cl
Álvaro Carter Fernández,"2018-2022, 2022-2026","La Pintana, Puente Alto, Pirque, La Florida, San José de Maipo",12,Región Metropolitana de Santiago,2022-2026,,Unión Demócrata Independiente,alvaro.carter@congreso.cl
Nathalie Castillo Rojas,2022-2026,"Paiguano, Andacollo, Coquimbo, Ovalle, Illapel, Salamanca, Combarbalá, Río Hurtado, Monte Patria, Canela, Vicuña, Los Vilos, La Serena, La Higuera, Punitaqui",5,Región de Coquimbo,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",nathalie.castillo@congreso.cl
José Miguel Castro Bascuñán,"2018-2022, 2022-2026","Sierra Gorda, San Pedro de Atacama, Antofagasta, Taltal, Calama, Tocopilla, María Elena, Ollagüe, Mejillones",3,Región de Antofagasta,2022-2026,,Renovación Nacional,josemiguel.castro@congreso.cl
Andrés Celis Montt,"2018-2022, 2022-2026","Viña del Mar, Santo Domingo, El Quisco, Casablanca, Valparaíso, Isla de Pascua, Concón, San Antonio, Algarrobo, Juan Fernández, Cartagena, El Tabo",7,Región de Valparaíso,2022-2026,,Renovación Nacional,andres.celis@congreso.cl
Daniella Cicardini Milla,"2014-2018, 2018-2022, 2022-2026","Vallenar, Alto del Carmen, Chañaral, Diego de Almagro, Copiapó, Caldera, Tierra Amarilla, Freirina, Huasco",4,Región de Atacama,2022-2026,,Socialista,daniella.cicardini@congreso.cl
Sofía Cid Versalovic,"2018-2022, 2022-2026","Vallenar, Alto del Carmen, Chañaral, Diego de Almagro, Copiapó, Caldera, Tierra Amarilla, Freirina, Huasco",4,Región de Atacama,2022-2026,,Renovación Nacional,sofia.cid@congreso.cl
Ricardo Cifuentes Lillo,2022-2026,"Paiguano, Andacollo, Coquimbo, Ovalle, Illapel, Salamanca, Combarbalá, Río Hurtado, Monte Patria, Canela, Vicuña, Los Vilos, La Serena, La Higuera, Punitaqui",5,Región de Coquimbo,2022-2026,,Demócrata Cristiano,ricardo.cifuentes@congreso.cl
Juan Antonio Coloma Álamos,"2014-2018, 2018-2022, 2022-2026","Buin, Melipilla, Curacaví, San Bernardo, Talagante, Peñaflor, Isla de Maipo, Paine, María Pinto, Alhué, Calera de Tango, El Monte, San Pedro, Padre Hurtado",14,Región Metropolitana de Santiago,2022-2026,,Unión Demócrata Independiente,juanantoniocoloma@congreso.cl
Sara Concha Smith,2022-2026,"Pinto, Quillón, San Ignacio, Coihueco, Ninhue, Ránquil, San Nicolás, Bulnes, Yungay, Portezuelo, Ñiquén, El Carmen, San Carlos, Chillán Viejo, Treguaco, Chillán, Pemuco, Quirihue, Cobquecura, Coelemu, San Fabián",19,Región de Ñuble,2022-2026,,Renovación Nacional,sara.concha@congreso.cl
María Luisa Cordero Velásquez,2022-2026,"Santiago, Providencia, San Joaquín, La Granja, Ñuñoa, Macul",10,Región Metropolitana de Santiago,2022-2026,,Renovación Nacional,marialuisa.cordero@congreso.cl
Eduardo Cornejo Lagos,2022-2026,"Placilla, Nancagua, Litueche, Peumo, Lolol, Marchihue, La Estrella, Pichilemu, Pumanque, San Fernando, Peralillo, Chimbarongo, San Vicente, Pichidegua, Las Cabras, Chépica, Santa Cruz, Palmilla, Navidad, Paredones",16,Región del Libertador General Bernardo O' Higgins,2022-2026,,Unión Demócrata Independiente,eduardo.cornejo@congreso.cl
Luis Alberto Cuello Peña y Lillo,2022-2026,"Viña del Mar, Santo Domingo, El Quisco, Casablanca, Valparaíso, Isla de Pascua, Concón, San Antonio, Algarrobo, Juan Fernández, Cartagena, El Tabo",7,Región de Valparaíso,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",luis.cuello@congreso.cl
Gonzalo De la Carrera Correa,2022-2026,"Lo Barnechea, La Reina, Peñalolén, Vitacura, Las Condes",11,Región Metropolitana de Santiago,2022-2026,,Comité Republicanos,gonzalo.delacarrera@congreso.cl
Tomás De Rementería Venegas,2022-2026,"Viña del Mar, Santo Domingo, El Quisco, Casablanca, Valparaíso, Isla de Pascua, Concón, San Antonio, Algarrobo, Juan Fernández, Cartagena, El Tabo",7,Región de Valparaíso,2022-2026,,Socialista,tomas.derementeria@congreso.cl
Catalina Del Real Mihovilovic,"2018-2022, 2022-2026","Lo Barnechea, La Reina, Peñalolén, Vitacura, Las Condes",11,Región Metropolitana de Santiago,2022-2026,,Renovación Nacional,catalina.delreal@congreso.cl
Viviana Delgado Riquelme,2022-2026,"Quilicura, Pudahuel, Estación Central, Colina, Lampa , Cerrillos, Maipú, Tiltil",8,Región Metropolitana de Santiago,2022-2026,,Comité Ecologista Verde e Independientes,viviana.delgado@congreso.cl
Felipe Donoso Castro,2022-2026,"Sagrada Familia, Hualañé, Curepto, Teno, Talca, Empedrado, Pelarco, San Rafael, Romeral, Molina, Curicó, Licantén, Vichuquén, Rauco, Constitución, Pencahue, San Clemente, Río Claro, Maule",17,Región del Maule,2022-2026,,Unión Demócrata Independiente,felipe.donoso@congreso.cl
Jorge Durán Espinoza,"2018-2022, 2022-2026","Conchalí, Huechuraba, Cerro Navia, Renca, Lo Prado, Recoleta, Independencia, Quinta Normal",9,Región Metropolitana de Santiago,2022-2026,,Renovación Nacional,jorge.duran@congreso.cl
Eduardo Durán Salinas,"2018-2022, 2022-2026","Pedro Aguirre Cerda, La Cisterna, San Ramón, Lo Espejo, El Bosque, San Miguel",13,Región Metropolitana de Santiago,2022-2026,,Renovación Nacional,eduardo.duran@congreso.cl
Camila Flores Oporto,"2018-2022, 2022-2026","Papudo, Zapallar, Quillota, Hijuelas, Los Andes, Quintero, San Felipe, Panquehue, Villa Alemana, La Ligua, Puchuncaví, Santa María, Llay Llay, Petorca, Nogales, San Esteban, Putaendo, Cabildo, Calle Larga, Rinconada, Quilpué, Calera, La Cruz, Catemu, Olmué, Limache",6,Región de Valparaíso,2022-2026,,Renovación Nacional,camila.flores@congreso.cl
Lorena Fries Monleón,2022-2026,"Santiago, Providencia, San Joaquín, La Granja, Ñuñoa, Macul",10,Región Metropolitana de Santiago,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",lorena.fries@congreso.cl
Juan Fuenzalida Cobo,"2018-2022, 2022-2026","Paiguano, Andacollo, Coquimbo, Ovalle, Illapel, Salamanca, Combarbalá, Río Hurtado, Monte Patria, Canela, Vicuña, Los Vilos, La Serena, La Higuera, Punitaqui",5,Región de Coquimbo,2022-2026,,Unión Demócrata Independiente,juan.fuenzalida@congreso.cl
Ana María Gazmuri Vieira,2022-2026,"La Pintana, Puente Alto, Pirque, La Florida, San José de Maipo",12,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",anamaria.gazmuri@congreso.cl
Andrés Giordano Salazar,2022-2026,"Conchalí, Huechuraba, Cerro Navia, Renca, Lo Prado, Recoleta, Independencia, Quinta Normal",9,Región Metropolitana de Santiago,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",andres.giordano@congreso.cl
Félix González Gatica,"2018-2022, 2022-2026","Hualpén, Tomé, Penco, Concepción, Hualqui, Chiguayante, Florida, San Pedro de la Paz, Coronel, Santa Juana, Talcahuano",20,Región del Bío Bío,2022-2026,,Comité Ecologista Verde e Independientes,felix.gonzalez@congreso.cl
Marta González Olea,2022-2026,"Mostazal, Graneros, Requínoa, Rancagua, Quinta de Tilcoco, Olivar, Codegua, Machalí, Doñihue, Rengo, Malloa, Coinco, Coltauco",15,Región del Libertador General Bernardo O' Higgins,2022-2026,,Partido Por la Democracia,marta.gonzalez@congreso.cl
Mauro González Villarroel,2022-2026,"Puerto Montt, Chonchi, Quemchi, Quinchao, Hualaihué, Calbuco, Curaco de Vélez, Queilén, Cochamó, Maullín, Futaleufú, Palena, Quellón, Castro, Ancud, Dalcahue, Puqueldón, Chaitén",26,Región de Los Lagos,2022-2026,,Renovación Nacional,mauro.gonzalez@congreso.cl
Jorge Guzmán Zepeda,2022-2026,"Sagrada Familia, Hualañé, Curepto, Teno, Talca, Empedrado, Pelarco, San Rafael, Romeral, Molina, Curicó, Licantén, Vichuquén, Rauco, Constitución, Pencahue, San Clemente, Río Claro, Maule",17,Región del Maule,2022-2026,,Evolución Política,jorge.guzman@congreso.cl
Carmen Hertz Cádiz,"2018-2022, 2022-2026","Quilicura, Pudahuel, Estación Central, Colina, Lampa , Cerrillos, Maipú, Tiltil",8,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",carmen.hertz@congreso.cl
Tomás Hirsch Goldschmidt,"2018-2022, 2022-2026","Lo Barnechea, La Reina, Peñalolén, Vitacura, Las Condes",11,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",tomas.hirsch@congreso.cl
Diego Ibáñez Cotroneo,"2018-2022, 2022-2026","Papudo, Zapallar, Quillota, Hijuelas, Los Andes, Quintero, San Felipe, Panquehue, Villa Alemana, La Ligua, Puchuncaví, Santa María, Llay Llay, Petorca, Nogales, San Esteban, Putaendo, Cabildo, Calle Larga, Rinconada, Quilpué, Calera, La Cruz, Catemu, Olmué, Limache",6,Región de Valparaíso,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",diego.ibanez@congreso.cl
Marcos Ilabaca Cerda,"2018-2022, 2022-2026","Panguipulli, Los Lagos, Lanco, Futrono, La Unión, Mariquina, Paillaco, Lago Ranco, Valdivia, Máfil, Corral, Río Bueno",24,Región de Los Ríos,2022-2026,,Socialista,marcos.ilabaca@congreso.cl
Juan Irarrázaval Rossel,2022-2026,"Buin, Melipilla, Curacaví, San Bernardo, Talagante, Peñaflor, Isla de Maipo, Paine, María Pinto, Alhué, Calera de Tango, El Monte, San Pedro, Padre Hurtado",14,Región Metropolitana de Santiago,2022-2026,,Comité Republicanos,juan.irarrazaval@congreso.cl
Pamela Jiles Moreno,"2018-2022, 2022-2026","La Pintana, Puente Alto, Pirque, La Florida, San José de Maipo",12,Región Metropolitana de Santiago,2022-2026,,Comité Ecologista Verde e Independientes,pamela.jiles@congreso.cl
Andrés Jouannet Valderrama,2022-2026,"Freire, Temuco, Pitrufquén, Loncoche, Carahue, Saavedra, Cholchol, Padre Las Casas, Nueva Imperial, Cunco, Pucón, Curarrehue, Toltén, Teodoro Schmidt, Villarrica, Gorbea",23,Región de La Araucanía,2022-2026,,Comité Radical - Liberal,andres.jouannet@congreso.cl
Harry Jürgensen Rundshagen,"2018-2022, 2022-2026","Osorno, Llanquihue, Fresia, Puerto Varas, San Pablo, Puyehue, Puerto Octay, Frutillar, San Juan de la Costa, Purranque, Los Muermos, Río Negro",25,Región de Los Lagos,2022-2026,,Comité Republicanos,harry.jurgensen@congreso.cl
Johannes Kaiser Barents-Von Hohenhagen,2022-2026,"Santiago, Providencia, San Joaquín, La Granja, Ñuñoa, Macul",10,Región Metropolitana de Santiago,2022-2026,,Comité Republicanos,johannes.kaiser@congreso.cl
Cristian Labbé Martínez,"2018-2022, 2022-2026","Quilicura, Pudahuel, Estación Central, Colina, Lampa , Cerrillos, Maipú, Tiltil",8,Región Metropolitana de Santiago,2022-2026,,Unión Demócrata Independiente,cristian.labbe@congreso.cl
Paula Labra Besserer,2022-2026,"Retiro, Chanco, Parral, Colbún, Villa Alegre, Yerbas Buenas, Longaví, Pelluhue, San Javier, Linares, Cauquenes",18,Región del Maule,2022-2026,,Renovación Nacional,paula.labra@congreso.cl
Tomás Lagomarsino Guzmán,2022-2026,"Viña del Mar, Santo Domingo, El Quisco, Casablanca, Valparaíso, Isla de Pascua, Concón, San Antonio, Algarrobo, Juan Fernández, Cartagena, El Tabo",7,Región de Valparaíso,2022-2026,,Comité Radical - Liberal,tomas.lagomarsino@congreso.cl
Joaquín Lavín León,"2014-2018, 2018-2022, 2022-2026","Quilicura, Pudahuel, Estación Central, Colina, Lampa , Cerrillos, Maipú, Tiltil",8,Región Metropolitana de Santiago,2022-2026,,Unión Demócrata Independiente,joaquin.lavin@congreso.cl
Henry Leal Bizama,2022-2026,"Freire, Temuco, Pitrufquén, Loncoche, Carahue, Saavedra, Cholchol, Padre Las Casas, Nueva Imperial, Cunco, Pucón, Curarrehue, Toltén, Teodoro Schmidt, Villarrica, Gorbea",23,Región de La Araucanía,2022-2026,,Unión Demócrata Independiente,henry.leal@congreso.cl
Enrique Lee Flores,2022-2026,"General Lagos, Camarones, Putre, Arica",1,Región de Arica y Parinacota,2022-2026,,Comité Partido de la Gente,enrique.lee@congreso.cl
Raúl Leiva Carvajal,"2018-2022, 2022-2026","Buin, Melipilla, Curacaví, San Bernardo, Talagante, Peñaflor, Isla de Maipo, Paine, María Pinto, Alhué, Calera de Tango, El Monte, San Pedro, Padre Hurtado",14,Región Metropolitana de Santiago,2022-2026,,Socialista,raul.leiva@congreso.cl
Daniel Lilayu Vivanco,2022-2026,"Osorno, Llanquihue, Fresia, Puerto Varas, San Pablo, Puyehue, Puerto Octay, Frutillar, San Juan de la Costa, Purranque, Los Muermos, Río Negro",25,Región de Los Lagos,2022-2026,,Unión Demócrata Independiente,daniel.lilayu@congreso.cl
Andrés Longton Herrera,"2018-2022, 2022-2026","Papudo, Zapallar, Quillota, Hijuelas, Los Andes, Quintero, San Felipe, Panquehue, Villa Alemana, La Ligua, Puchuncaví, Santa María, Llay Llay, Petorca, Nogales, San Esteban, Putaendo, Cabildo, Calle Larga, Rinconada, Quilpué, Calera, La Cruz, Catemu, Olmué, Limache",6,Región de Valparaíso,2022-2026,,Renovación Nacional,andres.longton@congreso.cl
Luis Malla Valenzuela,2022-2026,"General Lagos, Camarones, Putre, Arica",1,Región de Arica y Parinacota,2022-2026,,Comité Radical - Liberal,luis.malla@congreso.cl
Daniel Manouchehri Lobos,2022-2026,"Paiguano, Andacollo, Coquimbo, Ovalle, Illapel, Salamanca, Combarbalá, Río Hurtado, Monte Patria, Canela, Vicuña, Los Vilos, La Serena, La Higuera, Punitaqui",5,Región de Coquimbo,2022-2026,,Socialista,daniel.manouchehri@congreso.cl
Cristóbal Martínez Ramírez,2022-2026,"Pinto, Quillón, San Ignacio, Coihueco, Ninhue, Ránquil, San Nicolás, Bulnes, Yungay, Portezuelo, Ñiquén, El Carmen, San Carlos, Chillán Viejo, Treguaco, Chillán, Pemuco, Quirihue, Cobquecura, Coelemu, San Fabián",19,Región de Ñuble,2022-2026,,Unión Demócrata Independiente,cristobal.martinez@congreso.cl
Carolina Marzán Pinto,"2018-2022, 2022-2026","Papudo, Zapallar, Quillota, Hijuelas, Los Andes, Quintero, San Felipe, Panquehue, Villa Alemana, La Ligua, Puchuncaví, Santa María, Llay Llay, Petorca, Nogales, San Esteban, Putaendo, Cabildo, Calle Larga, Rinconada, Quilpué, Calera, La Cruz, Catemu, Olmué, Limache",6,Región de Valparaíso,2022-2026,,Partido Por la Democracia,carolina.marzan@congreso.cl
Christian Matheson Villán,2022-2026,"Río Verde, Laguna Blanca, Torres del Paine, Primavera, Natales, Punta Arenas, Porvenir, Antártica, Timaukel, San Gregorio, Cabo de Hornos",28,Región de Magallanes y de la Antártica Chilena,2022-2026,,Evolución Política,christian.matheson@congreso.cl
Karen Medina Vásquez,2022-2026,"Los Ángeles, Alto Biobío, Mulchén, Los Álamos, Tirúa, Tucapel, Negrete, Cañete, Nacimiento, Lebu, Antuco, Arauco, Curanilahue, Quilleco, Santa Bárbara, San Rosendo, Laja, Cabrero, Yumbel, Lota, Contulmo, Quilaco",21,Región del Bío Bío,2022-2026,,Comité Partido de la Gente,karen.medina@congreso.cl
Cosme Mellado Pino,"2018-2022, 2022-2026","Placilla, Nancagua, Litueche, Peumo, Lolol, Marchihue, La Estrella, Pichilemu, Pumanque, San Fernando, Peralillo, Chimbarongo, San Vicente, Pichidegua, Las Cabras, Chépica, Santa Cruz, Palmilla, Navidad, Paredones",16,Región del Libertador General Bernardo O' Higgins,2022-2026,,Comité Radical - Liberal,cosme.mellado@congreso.cl
Miguel Mellado Suazo,"2018-2022, 2022-2026","Freire, Temuco, Pitrufquén, Loncoche, Carahue, Saavedra, Cholchol, Padre Las Casas, Nueva Imperial, Cunco, Pucón, Curarrehue, Toltén, Teodoro Schmidt, Villarrica, Gorbea",23,Región de La Araucanía,2022-2026,,Renovación Nacional,miguel.mellado@congreso.cl
Daniel Melo Contreras,"2014-2018, 2022-2026","Pedro Aguirre Cerda, La Cisterna, San Ramón, Lo Espejo, El Bosque, San Miguel",13,Región Metropolitana de Santiago,2022-2026,,Socialista,daniel.melo@congreso.cl
José Carlos Meza Pereira,2022-2026,"Conchalí, Huechuraba, Cerro Navia, Renca, Lo Prado, Recoleta, Independencia, Quinta Normal",9,Región Metropolitana de Santiago,2022-2026,,Comité Republicanos,jose.meza@congreso.cl
Vlado Mirosevic Verdugo,"2014-2018, 2018-2022, 2022-2026","General Lagos, Camarones, Putre, Arica",1,Región de Arica y Parinacota,2022-2026,,Comité Radical - Liberal,vlado.mirosevic@congreso.cl
Claudia Mix Jiménez,"2018-2022, 2022-2026","Quilicura, Pudahuel, Estación Central, Colina, Lampa , Cerrillos, Maipú, Tiltil",8,Región Metropolitana de Santiago,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",claudia.mix@congreso.cl
Helia Molina Milman,2022-2026,"Santiago, Providencia, San Joaquín, La Granja, Ñuñoa, Macul",10,Región Metropolitana de Santiago,2022-2026,,Partido Por la Democracia,helia.molina@congreso.cl
Javiera Morales Alvarado,2022-2026,"Río Verde, Laguna Blanca, Torres del Paine, Primavera, Natales, Punta Arenas, Porvenir, Antártica, Timaukel, San Gregorio, Cabo de Hornos",28,Región de Magallanes y de la Antártica Chilena,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",javiera.morales@congreso.cl
Carla Morales Maldonado,2022-2026,"Placilla, Nancagua, Litueche, Peumo, Lolol, Marchihue, La Estrella, Pichilemu, Pumanque, San Fernando, Peralillo, Chimbarongo, San Vicente, Pichidegua, Las Cabras, Chépica, Santa Cruz, Palmilla, Navidad, Paredones",16,Región del Libertador General Bernardo O' Higgins,2022-2026,,Renovación Nacional,carla.morales@congreso.cl
Cristhian Moreira Barros,"2018-2022, 2022-2026","Pedro Aguirre Cerda, La Cisterna, San Ramón, Lo Espejo, El Bosque, San Miguel",13,Región Metropolitana de Santiago,2022-2026,,Unión Demócrata Independiente,cristhian.moreira@congreso.cl
