,id,suggestion,author,date_created,last_upvoted,comments,votes,Description
21,164926,Share a profile,Moses,"01 Mar, 2021",today,21,132,"Generate a link you can send to a friend that will allow them to see a profile that you saw on mutual. Maybe this isn't your match, but it could be theirs!"
22,175881,Free trial,Erica,"01 Apr, 2021",2 days ago,25,129,do a promo or let us watch adds to have a 24 hour trial of the unlimited version  versus having to commit for a week
23,165329,Increase photo count,Qaseem Maajid-Bey,"02 Mar, 2021",today,3,119,Increase the number of photos on user profiles from 5 to 7
24,176355,When reporting someone there should be an option to upload screenshots,KH,"05 Apr, 2021",today,3,115,"I had to report someone who had sent me sexually explicit gifs and messages, and someone else who had asked for money. It would help to have an option to upload at least one screenshot as proof. Also a little more character space to describe the reason for reporting creeps."
25,161966,Filter divorced,Moses,"22 Feb, 2021",today,25,111,"Allow users to specify on their profile that they are divorced, and make this a filterable attribute on their profile.  Question: If we have options for ""divorced"" or ""widowed"", should there also be an option for ""never married""?"
26,165991,Search by name,Morgan,"03 Mar, 2021",2 days ago,15,111,I'm friends with a lot of husband material guys but both of us are too scared to make a move. They never show up in my feed so it would be nice to search by his name then send him a cute message.
27,170628,Match explanations,Aidan Nemelka,"18 Mar, 2021",09 Jul,3,100,"To help focus on quality instead of quantity, there should be more to it than a mere swipe. Maybe each individual match should be given an idea of where to continue through tags, or a slider like the interest one. They want to talk, they want to go on a date, they think you are attractive, they want to hang out, they want to have fun, grab ice cream, stuff like that... The interest slider doesn't help much. It should be more individual for each match."
28,174999,Allow short videos to be added to profile,Jeannine,"30 Mar, 2021",09 Jul,23,96,(Hinge also does this and this allows you to see more of someone's personality and hear their voice)
29,165068,Age corrections,Meg,"02 Mar, 2021",2 days ago,3,92,I wish the app would stop showing my age a year older just because the year switches. Starting Jan 2021 it shows I'm 29 but I'm still 28 for 6 more months. It should switch your age on your birthday or at least birthday month. I may be filtered out of some searches now.
30,170306,Profile analytics,Robert,"17 Mar, 2021",2 days ago,13,91,"How many people you have swiped on, and percentage swiped up on, in a certain time period or over the lifetime of your profile."
31,179902,Mutual games,Joe,"17 Apr, 2021",yesterday,10,84,Integrate fun little online games to play with your new match.  Games to get to know each other and games to just have a little fun together.  Perhaps Church themed trivia if you must.
32,165005,Share photos send photos in chat,Ejkl,"02 Mar, 2021",today,11,82,During a conversation with a person you should be able to send him a picture.
33,172181,Filter those that like you,Collin,"21 Mar, 2021",2 days ago,6,80,Filter the people that like you in the distance you set instead of showing everyone around the world
34,169249,Video call speed dating,Anonymous,"13 Mar, 2021",09 Jul,11,75,Other apps have this where a few times a week there is a 15min interval where insterested people sign in and get a random date for 3min. Then you can swipe on the person. This could even be a feature for only paying members (or you could have only guys pay for it). I'd totally pay for something like this.
35,176175,Dealbreakers,Damian,"03 Apr, 2021",2 days ago,8,75,"There should be an option for a 'dealbreaker' in the filters. Where they may choose to not have anyone below or above their chosen age, height, or distance filters by selecting the dealbreaker option. On the other hand, they may choose to leave the dealbreaker open and have greater chances for a match."
36,172738,Show likelyhood to respond,Josh,"23 Mar, 2021",2 days ago,8,74,Show me the percentage of how many people someone ignores so I dont seipenup on a ghoster
37,169296,Filter weight,Pedro,"14 Mar, 2021",today,18,69,"If height can be a filter, then weight should be one too."
38,169448,Change unmatch reasons,Nate,"15 Mar, 2021",2 days ago,7,68,"One change I would like would be: Unmatch - without a reason I'd love to be able to unmatch without picking a reason to unmatch. Ie We went on a date and the chemistry wasn't there. Currently, the options all are like ""inappropriate bio, poor offline behavior, etc.... So I don't want to pick that if it was just a lack of chemistry. I also prefer to keep a smaller list of matches. If it's not going to work out, I don't want to see them in my matches"
39,171625,An are you dating someone thing,Mathieu Brewer,"20 Mar, 2021",2 days ago,4,63,I've matched w too many girls who have a bf that are 'just looking for friends' and it's annoying tbh
40,170905,Penalize ignoring a message from a match,Daniel,"18 Mar, 2021",yesterday,17,61,"One of the worst things about Mutual is matching with someone, sending that person a thoughtful message, and then getting ignored. Unfortunately, this happens far too often. Possible remedies:1) Each person has a queue of, say, 5 waiting messages. Each message must be either responded to or the match removed. Once the queue is full, all new matches will be hidden. If someone removes too many matches, his/her ability to swipe is temporarily revoked.2) If someone ignores more than, say, 50% of new match messages, he/she will be forced to initiate conversations or lose the ability to see new profiles. The danger, of course, is that the system would be easy to game. Somehow each person should be incentivized to make meaningful connections, not try to rack up matches to ignore."
41,164958,Nudges or reminders,Sarah,"02 Mar, 2021",2 days ago,2,60,Reminders for people you've matched that the matches are about to expire. It should send notifications/reminders to send them a message.
42,175785,Bring back old matches,Greg,"01 Apr, 2021",08 Jul,3,56,Be able to see people you matched with in the past to retry.
43,172670,Show approximate number of people in range,Robert,"17 Mar, 2021",2 days ago,2,56,"Show how many men and how many women use mutual in a selected range, can be approximate."
44,170894,Filter specific tag,Sanford Bassett,"18 Mar, 2021",08 Jul,61,54,The ability to see people with a specific tag (even a custom tag) would be an excellent addition.
45,179921,Notes should be one per day anytime i want to use it not once every 24 hrs exact,Eliot,"18 Apr, 2021",08 Jul,4,54,"It could be by date change for example not by how many hours have passed since the last time you used a note. For instance, if I use a note at 1030 p.m. on Monday night and for whatever reason want to send another at 1210 a.m. Tuesday I should be able to do that."
46,184861,List view of people whove liked you,Anonymous,"12 May, 2021",yesterday,7,47,Rather than having to go one by one of those who've liked you being able to view in a list similar to bumble would be great!
47,170233,Group date feature,Jaden,"16 Mar, 2021",07 Jul,6,43,"I'm not entirely sure how this would work. I think an option when creating a profile could be to create a group profile. I know people already do this, but making it easier for people would encourage more group profiles. Then it would encourage group dates, which would relieve a lot of the pressure on dating. And it would make mutual safer for all."
48,172119,A notification sound,Bradley,"21 Mar, 2021",08 Jul,2,43,"Whenever I'm outside of the app, I don't notice notifications for sometimes hours, because my phone doesn't vibrate, and no sound goes off, until I turn my screen on and see that the notification is there"
49,161964,Filter pets,Moses,"22 Feb, 2021",07 Jul,1,42,"Pets can be a must or a deal-breaker for certain people. Allow users to specify on their profile that they have or want pets, and make this a filterable attribute on their profile."
50,176262,Add additional location filter by state,Ryan,"04 Apr, 2021",yesterday,5,39,"I'd like to filter the search by state. See everyone in Nevada or Texas, etc."
51,180047,Not for me instead of no reason,Kay,"19 Apr, 2021",08 Jul,1,38,"It's such a small thing, but it bugs me every single time. Of course I have a reason for unmatching with someone. And it's not any of those other suggestions. Inappropriate behavior isn't the only reason to move on from someone. I simply wish to discontinue my correspondence with that person. Why does that need to fall under the 'Other' category?"
52,174225,Time stamps,emma,"27 Mar, 2021",08 Jul,3,37,Adding time stamps for each message in a chat would be helpful (I.e. swiping messages to the left to see what time they were sent at)
53,197289,Ghosting ratio,Sunny,"10 Jul, 2021",09 Jul,2,36,"Ghosting isn't the worst but it isn't the best. Have a button for people to report ghosting, ask if their sure, and have the app verify there has been no response for a month or so, then report their statistics on their profile. Get rid of people who chronically ghost others ( >75%)"
54,184344,Picture upload zoom issue,Daniel,"09 May, 2021",08 Jul,6,35,"Change mutual feature to stop uploading pictures automatically zoomed in really far. Every time I add a picture it's super zoomed in, would prefer people to see more of me and surroundings"
55,164998,Filter ethnicity,B,"02 Mar, 2021",today,14,33,
56,165040,Add spotify top artists,Moses,"02 Mar, 2021",09 Jul,4,30,
57,203487,When ward hopping have option to display both real and hopped location,Matt Eden,"17 Aug, 2021",2 days ago,2,29,"It would be nice for the search function to also work from both locations, as the people you are shown have to have your location/statistics within their preferences.  Having both locations displayed would mean you wouldn't have to explain that you dont actually love there."
58,200161,Filter language,Paige,"27 Jul, 2021",08 Jul,13,27,"Filter based on languages. If I only speak English, and a guy doesn't speak English at all, (or vice versa) then it would obviously not be a good match.  For example, users input whatever languages they speak, and then only users with at least one language in common show up as potential matches."
59,190177,See who liked me list view,Michael Patterson,"09 Jun, 2021",yesterday,8,27,"Rather than have a queue of people who liked you, have a list view that allows you to scroll through and like anybody who liked you. This allows you to browse your list without having to make a decision right away and makes it easier to have the conversations you want to have first."
60,183909,Show new people by most compatible first,Laura,"07 May, 2021",09 Jul,2,27,"Instead of showing new people according to random order or by who is closest, show the people with highest compatibility first (those with similar tags, interest level, etc)"
61,190702,Willing to relocate,mark Osborn,"11 Jun, 2021",09 Jul,3,26,Would be nice to know if someone in a different country/state is willing to relocate to my country/state if we hit it off
62,202492,Make the about me section a required field,Moses Lotulelei,"10 Aug, 2021",08 Jul,2,25,"This encourages higher quality profiles which lead to more meaningful conversations. If someone does not write an about me, it's hard to find conversation starters based solely on their pics."
63,164931,Filter favorite school,Moses,"01 Mar, 2021",07 Jul,23,24,"Filter through current students/alumni or other users who have a favorite university (e.g. BYU, U of U, Utah State, UVU, etc.)."
64,192803,Friends only section,Adam fox,"19 Jun, 2021",yesterday,14,24,"Used specifically for people just looking for friends, similar to bumble BFF feature. Looking for some homies so this would include dudes seeing other dudes."
65,181754,Filter exclude utah from results,Chris,"26 Apr, 2021",yesterday,0,24,"I've wished this was a feature for years: a filter to exclude Utah from the search location settings. Dating for members outside of Utah, even being a member outside of Utah, can be very different than being a member actually in Utah. And that's a preference that, at least for me, I'm very interested in. When I do an anywhere search, I get tired of seeing all the Utah results (makes sense, largest demographic). However, the outside Utah people, in the US and rest of the world, I find I actually make contact with more often & enjoy talking to much more. It's just a demographic difference. Even offline, members outside of Utah tend to enjoy connecting more, we can drive an hour easy just to gather & hang out for an afternoon. It's a bit more exciting because we're used to being so few. Without this option, the generic anywhere setting still results in the majority of people shown being Utah people."
66,192616,Add a blind dating feature for people who dont want looks to influence if they m,Chad,"19 Jun, 2021",08 Jul,5,22,
67,198340,Filter body type,Stephanie,"17 Jul, 2021",07 Jul,3,22,There was an option for this on ldssingles and many other dating apps. Body types can be something like this: SlimAthleticAbout AverageA Few Extra PoundsCurvyOverweight
68,189478,Get rid of spamfraudulent users,Chele,"07 Jun, 2021",09 Jul,10,21,There is more spam on this account than any other... I have been asked for money at least 5 times.
69,175614,Downvote option on the feedback site,Jared,"31 Mar, 2021",yesterday,5,21,"We should have a downvote option on the feedback site. There are many topics, for instance, NCMO's, that the vast majority are opposed to but which would show an abnormal number of likes if they were posted. This bias is introduced because the parties in favor of said topic are more fanatical than the mainstream party. Feeling a strong connection to it means they upvote. It takes too long for some people to add a comment against a topic and they feel that they would be drowned out by many other comments anyway if they were to post (especially after seeing the many upvotes for that topic).  Downvotes would resove this problem and allow a bigger picture for support or opposition to a topic. At the end of the day, this isn't a democracy anyway; Mutual will decide what policies and practices they adopt on their own. I think downvoting is a necessary part of feedback."
70,170258,Web browser support,Q,"16 Mar, 2021",16 May,10,20,I am a software engineer and can help implement this
71,165226,Facebook mutual friends,Ashlee,"02 Mar, 2021",07 Jul,3,19,Ability to see mutual friends on Facebook so I know who to contact to set me up!
72,176263,Reset all swipes option,Ryan,"04 Apr, 2021",09 Jul,1,19,"The current refresh oldest 100 thing is very glitchy right now. I click it, but nothing happens unless I change my search parameters. Go back to what we had before."
73,181384,Photo age,Joseph Smith,"23 Apr, 2021",2 days ago,2,18,A date stamp (can be approximate) that tells how old photos are
74,173621,Translate messages,Giovanna,"25 Mar, 2021",07 Jul,7,17,Many times there are people who know each other but cannot speak due to the language difference.
75,169247,Fix ig integration,Anonymous,"13 Mar, 2021",yesterday,2,17,Ig photos are zoomed in when expanded and there is no way to scroll the image
76,164972,World wide distance,Cole,"02 Mar, 2021",03 Jul,2,17,"If I choose to look at everyone world wide, it would be nice to have an option where the distance starts out close to my area then slowly expands outward"
77,173851,Limit new matches based on how often you respond to the ones you already have,Josh,"26 Mar, 2021",2 days ago,0,17,"If you want to keep matching/swiping, you should either delete older matches that you've lost interest in, or respond to matches you already have. People would be way less likely to swipe up on people they would ghost, and they may even find love with an old match. It's a good way of encouraging people to seriously investigate people, or at least not waste other people's time. It would also make the ""see who likes me"" feature more appealing since people would want to make the best use of their limited match space.I'd be more interested in a person if I knew they had limited storage and used some on me. Someone with full storage could still come up on other people's feed,  but their feed would say ""You've been talking to 2 out of your 30 matches in the last week.  Reach out to some before you keep matching""People who regularly respond wouldn't have that issue or would at least have more storage. Potentially another premium feature.  50 matches instead of 30. Thank you"
78,188769,Filter returned missionary,Matthew S. Mahoney,"03 Jun, 2021",today,11,16,
79,194118,Add education level,Holly,"26 Jun, 2021",today,3,16,"As someone with a masters degree who makes Clos to 6 figures, I don't want someone who has been working at Walmart since high school. I want an equal. Education is important to me, I also want it to be important to my partner.  It could be a drop down with options: (high school, tech school, some college, bachelor's, graduate degree)"
80,165321,Minimum character count in bio,Qaseem Maajid-Bey,"02 Mar, 2021",09 Jul,2,16,Have a minimum character count in the bio to encourage people to talk about themselves and increase interest.
81,172209,Home screen should be messaging,Dan,"21 Mar, 2021",22 May,0,16,Home Screen should be messaging not back to more profiles. This will allow us to focus on our matches and not on just swiping.
82,199535,Fix photo sizing,Kyra,"26 Jul, 2021",today,4,15,"Sometimes when I try to add a photo that isn't the exact size it needs it to be, I have to resize it or screenshot it. Some of them turn out blurry or sized weird"
83,192610,Add a section asking about covid vaccination status,Chad,"19 Jun, 2021",yesterday,4,15,
84,179087,Add more then 2 letters for the state or country better geographic clarity pleas,James McLean,"14 Apr, 2021",yesterday,0,15,"As a global app, 2 letters is just not enough to clearly identify the location. What does CA mean? Cambodia, Canada, California'?. 2 letters are not enough, especially when you're not even consistent with whether it is a state or country. If it is a state then add the country. Better yet, you could use a small pic of the country's flag. That would save screen space and add character to the app."
85,175897,Publish dating market statistics for an area,Trent,"02 Apr, 2021",09 Jul,0,15,"Or sell them, if mutual needs the money. Basically the app has a lot of interesting data already (how many lds people are dating in X city, how many swipes result in a match, how many matches result in a two way message, what portion of users are male/female in a given area, how many people does it take to get a match on average, etc).  YSA move around a lot and it would be very helpful and valuable to have an idea for these sorts of things ('oh, the job offer in Chicago has 200 mutual users in the area, but the offer in DC has 600, good to know'). I bet plenty of users would pay $10+ for a detailed report and it would cost very little to produce since the app already knows it's user base.  More personalized reports like 'X percent of people swipe up on this photo, Y percent on this other photo' or even 'of 1000 male profiles in the area, users swipe on you more than they do on 550 of the others' etc would also be interesting. The user base generates the data, let them see it."
86,173770,Party room,Braeden,"25 Mar, 2021",09 Jul,0,15,"(This tries to mirror connecting with people at a party)  Display the first profile pic of 6 different people side by side. The user taps 2 of those people to ""get to know better"". The other 4 people go away, and the user sees those 2 people's whole profile.  They swipe up or down, then 6 new people come up, in the same process.  The 4 people they did not choose do not show up again for 1 week (or maybe 24 hours), after which they will come back around in the rotation.  (This adds a fun element of decision, sort of like at a party where you have a limited amount of time to spend talking to people) Might be a fun twist!"
87,164969,Scroll bar,Cole,"02 Mar, 2021",03 Jul,0,15,"Make the distance bar not a slide bar, but instead one of those scroll wheel things. The slide bar is too inconvenient for thousands of miles to be on"
88,179930,Timedate stamp on messages,Howie,"18 Apr, 2021",09 Jul,1,14,Time/date stamp on messages
89,186715,Allow those who you have liked to see you liked them,Anonymous,"21 May, 2021",09 Jul,2,13,"When people pay for the membership on the app, it should allow people who you swipe up on be able to see that you want to connect with them. Otherwise I feel like you have just as much of a chance of finding a connection as someone who doesn't pay for the app."
90,194685,See at least 1 person per week,Micah Conover,"29 Jun, 2021",2 days ago,0,13,"I think it would be nice to get to see at least 1 person who likes me per week for free. That wouldn't get rid of the incentive to pay to see the 99+ people who like me, but it would make it so I could match a little more easily. Sometimes it's discouraging to swipe for a long while, and exit the app without any luck. Being able to see someone who likes me each week, would at least insure that I come across something that could be mutual, once in a while."
91,192772,Be able to set your location to your home city while traveling,Jacob Coleman,"19 Jun, 2021",09 Jul,0,13,It would be great to be able to still have your location be your home location while traveling. This way you can still find singles within reasonable distance while traveling and not feel like the app is completely useless because it's you can only look at singles in your vacation location.
92,173521,Questionnaire,Jared,"25 Mar, 2021",09 Jul,0,13,"Everyone can answer the questions they're comfortable with and then you can check a match's answers to the questions that you've answered yourself. In order to see the answers to questions that you haven't taken, you have to answer the corresponding question (to prevent ppl from saying what a match wants to hear). To prevent addictive behavior and to reward consistent app use, there could be a limit to the number of questions that can be answered per day (e.g. 10 questions). Maybe this wouldn't apply to answering questions a match had answered (while looking at a match). Premium users could then see a match % based on the questions and interest tags"
93,196148,Filter unwanted names,Anne Lester,"06 Jul, 2021",today,6,12,Add a filter to block certain names. Nobody wants to date their dad.
94,176295,Metric vs imperial on height,Anonymous,"04 Apr, 2021",07 Jul,3,12,"Please change Canada to feet and inches. Sure we use centimetres here in the great white North, but not when regarding height. This is honestly the worst. Please change this."
95,200637,Give stats on your profile percentageswhats successful,Todd,"29 Jul, 2021",09 Jul,2,12,1. How much time people spend on your profile2. Which picture they swipe up on (how many they look through)/or a percentage of how many people get how far into your pictures3. How many read your profile4. How many view it vs swipe on it5. How many use the second look option
96,282931,Family tree app linked to this,Hailey,26 Feb,09 Jul,1,12,"I have had a 2nd cousin swipe up and communicate with multiple girls he's related to. Not me, but 2 of my cousins. They found this out at a family funeral and as you can imagine, it was quite funny/awkward. Since there are no last names, I think the family tree app that says how closely you're related would be helpful hahah."
97,201410,Rollover notes,Barry,"03 Aug, 2021",09 Jul,1,12,"It's the same concept as rollover minutes, but for notes!  So, let's say I have 1 note on day 1, but I do not use it.  On day 2 I will have 2 notes to use!  If I don't use either of those notes on day 2, I will end up with 3 notes on day 3, and so on!"
98,198341,Filter gym activity,Shelby,"17 Jul, 2021",08 Jun,1,12,"Have an option to display and filter level of days/hours at gym every week.Options could be something like this: Days per week: 1, 2, 3... etcHours per week: 1, 2, 3... etc"
99,173095,Multiple search locations,Frank the Dog from Men In Black 2,"23 Mar, 2021",07 Jul,1,12,"Setting multiple search locations, maybe up to five or so, instead of setting a distance meter."
100,202149,React to messages sent,Kristina Cannon,"09 Aug, 2021",09 Jul,0,12,"An awesome feature would be to mirror iphone messages/instagram dms with how you can react to messages sent to you. I love being able to heart a message, emphasize a message etc. I just had the thought to maybe add another feature where you can reply to specific messages like you can imessage."
101,176239,Pause profile,Amanda,"04 Apr, 2021",03 Jul,0,12,It would be cool if we could pause our accounts for a while if we don't want to deactivate it but we also aren't wanting to show up on other people's profiles or anything.
102,175898,Option for more detailed profile info,Trent,"02 Apr, 2021",07 Jul,0,12,"Allow users to create a 'bonus' profile with more personal information about what they want in life, what they're into, what they care abt in a partner etc that they can grant access to after matching or after going out w another user and having a good time.  Profiles (and first dates) tend to be intentionally light hearted and nobody wants to ask 'how many kids do you want to have' or 'are you/have you been a pornography user' or 'what sort of income/spending level do you expect to have' or 'what is something that you find attractive/unattractive in a partner' or 'if your spouse left the church do you think you'd be more likely to break up, or to leave the church yourself' etc etc.  Basically it would be like a 'level 2' profile that you share selectively w someone once you've built some trust or connection. Nobody wants to go into date one or two throwing those topics on the table at a restaurant but many people are interested in them for compatibility."
103,177626,Repeal height filter,Aaron,"09 Apr, 2021",08 Jul,8,11,This encourages the stigma of rejecting someone based on their height. A genetic predisposition that cannot be changed.
104,186181,Optional profile feedback,Jeremy,"18 May, 2021",yesterday,4,11,"Instead of swiping down, the user could have the option to provide constructive feedback on a profile by choosing from a list of common profile mistakes or sending an anonymous message.  Examples:Too many people in photosUnflattering photosInappropriate photosGeneric descriptionSpelling and grammarBio is negative, disrespectful, immature, boring, too brief, inappropriateToo few or too many interests User could select all that apply. Receiving feedback could be opt-in only. Feedback could also be in the form of an anonymous message but would probably be abused. Inappropriate messages could be reported."
105,202557,Message preview in notification,Sterling,"10 Aug, 2021",09 Jul,2,11,"I want the notification on my phone to have the message they sent displayed, just like every other messages app I've ever used. I am fairly confident this will significantly reduce people unintentionally ghosting each other and generally help response times. This is the norm for messaging across the boards on smartphones, and would be very useful here. Every app also has a setting to disable it, which y'all could also throw in there pretty easily"
106,186677,Date ideas,Nathaniel Sparks,"20 May, 2021",yesterday,2,11,Have a list of common date ideas and select ones you like. When you match with someone you can see common date ideas you like
107,211694,Reset all downswipes from people who like you,Tyler Alley,"05 Sep, 2021",yesterday,1,11,In addition to the current feature of reset the oldest 100. The reset all swipes could be a 3rd reset option
108,188116,Get rid of say hi,J,"31 May, 2021",08 Jul,1,11,"In addition to the suggestion for conversation prompts... it would be amazing to replace the 'say hi' prompt that comes up after a match, because that is quite often the ONLY thing that people say... and I had to stop getting mad when I realized that people are just doing what the app told them to do :P"
109,193363,Reasons for swiping,Holly,"23 Jun, 2021",2 days ago,0,11,"When you match or don't match with someone, have a selection option for why you swiped the way you did. Then mutual could maybe filter so similar people show up more often. These could also just let mutual know what things we swipe based on. Even if it's every few swipes instead of every one..."
110,189884,Verified profiles filter for them,Jeramy,"08 Jun, 2021",09 Jul,6,10,"I'm tired of getting fake profiles matching who have little to no bio, rarely any info that checks out, and upon further inspection after matching the 3 photos they uploaded are of three separate women that were ripped off Insta or random online searches. Verified Profiles and a way to search only those verified would be wonderful!"
111,266157,The new about me section is too short,Liz,"27 Dec, 2021",09 Jul,4,10,"The old section was much better. I really felt like I could learn a bit about a person. This is way too short now! Other sites like Hinge and Bumble include a lot more info in your stats section (kids status, politics etc) so they don't need as much room in the About Me section but this is ridiculously short!!"
112,189906,Make the distance slider better,Ryan,"08 Jun, 2021",2 days ago,3,10,The distance slider should be exponential. The most useful range is 0-40 miles anyway so instead of that being 4mm long on the slider it should take up half of the slider.
113,187180,Purge users,Bparks,"25 May, 2021",07 Jul,0,10,"I get the feeling that a lot of the people on the app are married or don't use it. In other words, it feels like the swiping is bloated based off of false profiles. Maybe consider purging users who have been inactive for a couple of years."
114,186991,Check to mark your divorce is finalized,A,"23 May, 2021",2 days ago,0,10,"I've come across so many guys where they are still married. It's in the fine print your divorce needs to be finalized, but you need to make them actually check a box to move on the next page of setting up their profile. It needs to be in their face"
115,173511,No gun photos,Lj,"24 Mar, 2021",07 Jul,16,9,Ban gun pictures
116,186730,Reviews would be fun,j the Zuni,"21 May, 2021",11 Jun,9,9,Submit a review/rating after a date for the other persons approval-The reviews show up in the bio
117,174229,Social media section,Khiler,"27 Mar, 2021",05 Jan,5,9,A separate section to either link or add their social media profiles so then people dont just put their Instagram handle in their bio and call it good. Helps push creativity in bio.
118,200613,No dead animals,Kelsi,"28 Jul, 2021",2 days ago,2,9,"I'm so sick of seeing dead deer, elk, fish, etc. on guys' profiles. There are other photos someone can upload to indicate they enjoy hunting and/or fishing, but nobody needs to see the actual dead animal."
119,184715,Show which chats you havent replied to,Alex,"11 May, 2021",07 Jul,1,9,Matches seem to come in waves and sometimes its easy to miss or forget to reply to a message when there's a bunch at once. In other apps there's an icon in your list of chats showing which convos are 'your turn' to reply. This makes it a lot easier to not miss a message and or remember to reply if you checked it while busy.
120,307193,Lower subscription price,Bay,11 Jun,yesterday,0,9,Self explanatory ^ This app is mostly made up of high school/college students.  This app is way too expensive.
121,225427,Clarify interested in,N.,"18 Oct, 2021",09 Jul,0,9,"Instead of ""up for dancing"" or similar, create 4 horizontal categories: 1. Seeking friends, 2. Casual dates, 3. Serious dates, 4. Ready for a relationship/marriage. Within those categories, add a vertical slider to choose your sub-group, to have more fun language. The current ice cream, dancing, and looking for fun tags are somewhat nebulous"
122,217248,Unmatch feedback,R,"22 Sep, 2021",09 Jul,0,9,"Have the reason they unmatch be shown to the person they unmatch with. Whether it's ""not messaging enough"" or ""no chemistry"" etc."
