apellidos,formacion,apellidosNombre,genero,fchAlta,grupo,idCircunscripcion,nombreCircunscripcion,nombre,codParlamentario,dateOfBirth,legislaturas,mailto,img,twitter,facebook,personal-web,legislatura_IX,legislatura_X,legislatura_XI,legislatura_XII,legislatura_XIII,legislatura_XIV,instagram,legislatura_V,legislatura_VI,legislatura_VII,legislatura_VIII,linkedin,youtube,legislatura_II,legislatura_III,years
Alonso Suárez,PsdeG-PSOE,"Alonso Suárez, María Olga",2,20/11/2019,Socialista,36,Pontevedra,María Olga,72,1962-07-12,"['XIII', 'XIV']",olga.alonso@congreso.es,www.congreso.es/docu/imgweb/diputados/72_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,60
Álvarez de Toledo Peralta-Ramos,PP,"Álvarez de Toledo Peralta-Ramos, Cayetana",2,28/11/2019,Popular en el Congreso,8,Barcelona,Cayetana,308,1974-10-15,"['IX', 'X', 'XIII', 'XIV']",c.alvarezdetoledo@congreso.es,www.congreso.es/docu/imgweb/diputados/308_14.jpg,https://twitter.com/cayetanaAT,,http://www.cayetanaalvarezdetoledo.com/,IX,X,,,XIII,XIV,,,,,,,,,,47
Álvarez Fanjul,PP,"Álvarez Fanjul, Beatriz",2,21/11/2019,Popular en el Congreso,48,Bizkaia,Beatriz,101,1991-08-23,['XIV'],beatriz.fanjul@congreso.es,www.congreso.es/docu/imgweb/diputados/101_14.jpg,https://twitter.com/bea_fanjul,,,,,,,,XIV,https://www.instagram.com/bea_fanjul/,,,,,,,,,31
Álvarez i García,ERC-S,"Álvarez i García, Gerard",1,11/05/2021,Republicano,8,Barcelona,Gerard,384,1989-05-06,['XIV'],,www.congreso.es/docu/imgweb/diputados/384_14.jpg,https://twitter.com/GerardAlv7,,,,,,,,XIV,https://www.instagram.com/gerardalvarez89/,,,,,,,,,33
Andrés Añón,PSC-PSOE,"Andrés Añón, Carmen",2,26/11/2019,Socialista,8,Barcelona,Carmen,204,1964-10-19,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/204_14.jpg,https://twitter.com/carmenandres_,,,,,,,XIII,XIV,,,,,,,,,,57
Andrés Barea,PSOE,"Andrés Barea, Josefa",2,20/11/2019,Socialista,46,Valencia/València,Josefa,66,1958-02-17,"['XIII', 'XIV']",josefa.andres@congreso.es,www.congreso.es/docu/imgweb/diputados/66_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,64
Anguita Pérez,PSOE,"Anguita Pérez, Omar",1,29/01/2020,Socialista,28,Madrid,Omar,354,1990-11-03,['XIV'],omar.anguita@congreso.es,www.congreso.es/docu/imgweb/diputados/354_14.jpg,https://twitter.com/AnguitaOmar,,,,,,,,XIV,https://www.instagram.com/omaranguita,,,,,,,,,31
Angulo Romero,PP,"Angulo Romero, María Teresa",2,21/11/2019,Popular en el Congreso,6,Badajoz,María Teresa,113,1968-05-17,"['X', 'XI', 'XII', 'XIV']",maria.angulo@congreso.es,www.congreso.es/docu/imgweb/diputados/113_14.jpg,,https://www.facebook.com/teresa.anguloromero,,,X,XI,XII,,XIV,,,,,,,,,,54
Antón Cacho,PSOE,"Antón Cacho, Javier",1,21/11/2019,Socialista,42,Soria,Javier,100,1972-10-24,"['XI', 'XII', 'XIII', 'XIV']",javier.anton@congreso.es,www.congreso.es/docu/imgweb/diputados/100_14.jpg,https://twitter.com/javieranton,https://www.facebook.com/Javier.Anton.Cacho,,,,XI,XII,XIII,XIV,https://www.instagram.com/javier_anton_cacho/,,,,,,,,,49
Aragonés Mendiguchía,PP,"Aragonés Mendiguchía, Carlos",1,26/11/2019,Popular en el Congreso,28,Madrid,Carlos,232,1956-10-14,"['V', 'VI', 'VII', 'VIII', 'IX', 'X', 'XIV']",carlos.aragones@congreso.es,www.congreso.es/docu/imgweb/diputados/232_14.jpg,,,,IX,X,,,,XIV,,V,VI,VII,VIII,,,,,65
Aranda Vargas,PSC-PSOE,"Aranda Vargas, Francisco",1,26/11/2019,Socialista,8,Barcelona,Francisco,198,1977-06-30,"['XIII', 'XIV']",francisco.aranda@congreso.es,www.congreso.es/docu/imgweb/diputados/198_14.jpg,https://twitter.com/arandapaco,,,,,,,XIII,XIV,,,,,,,,,,45
Araujo Morales,PSOE,"Araujo Morales, Gemma",2,24/02/2020,Socialista,11,Cádiz,Gemma,364,1979-03-05,['XIV'],gemma.araujo@congreso.es,www.congreso.es/docu/imgweb/diputados/364_14.jpg,,,,,,,,,XIV,,,,,,,,,,43
Arribas Maroto,PSOE,"Arribas Maroto, Manuel",1,24/02/2020,Socialista,5,Ávila,Manuel,369,1986-12-13,['XIV'],manuel.arribas@congreso.es,www.congreso.es/docu/imgweb/diputados/369_14.jpg,https://twitter.com/ArribasManuel,,,,,,,,XIV,,,,,,,,,,35
Arrimadas García,Cs,"Arrimadas García, Inés",2,29/11/2019,Ciudadanos,8,Barcelona,Inés,331,1981-07-03,"['XIII', 'XIV']",ines.arrimadas@congreso.es,www.congreso.es/docu/imgweb/diputados/331_14.jpg,https://twitter.com/InesArrimadas,https://www.facebook.com/ines.ciudadanos/,,,,,,XIII,XIV,,,,,,,,,,41
Asarta Cuevas,Vox,"Asarta Cuevas, Alberto",1,21/11/2019,VOX,12,Castellón/Castelló,Alberto,129,1951-11-14,['XIV'],alberto.asarta@congreso.es,www.congreso.es/docu/imgweb/diputados/129_14.jpg,,,,,,,,,XIV,,,,,,,,,,70
Asens Llodrà,ECP-GUAYEM EL CANVI,"Asens Llodrà, Jaume",1,27/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,8,Barcelona,Jaume,291,1972-03-29,"['XIII', 'XIV']",jaume.asens@congreso.es,www.congreso.es/docu/imgweb/diputados/291_14.jpg,https://twitter.com/Jaumeasens,https://www.facebook.com/jaumeasens/,,,,,,XIII,XIV,,,,,,,,,,50
Azorín Salar,PSOE,"Azorín Salar, Lázaro",1,25/02/2020,Socialista,3,Alicante/Alacant,Lázaro,371,1975-04-09,['XIV'],,www.congreso.es/docu/imgweb/diputados/371_14.jpg,,,,,,,,,XIV,,,,,,,,,,47
Baldoví Roda,MÉS COMPROMÍS,"Baldoví Roda, Joan",1,26/11/2019,Plural,46,Valencia/València,Joan,247,1958-08-07,"['X', 'XI', 'XII', 'XIII', 'XIV']",joan.baldovi@congreso.es,www.congreso.es/docu/imgweb/diputados/247_14.jpg,https://twitter.com/joanbaldovi,https://www.facebook.com/joanbaldovi/,,,X,XI,XII,XIII,XIV,,,,,,,,,,64
Bal Francés,Cs,"Bal Francés, Edmundo",1,26/11/2019,Ciudadanos,28,Madrid,Edmundo,211,1967-07-02,"['XIII', 'XIV']",edmundo.bal@congreso.es,www.congreso.es/docu/imgweb/diputados/211_14.jpg,https://twitter.com/BalEdmundo,,,,,,,XIII,XIV,,,,,,,,,,55
Baños Ruiz,PSOE,"Baños Ruiz, Carmen",2,24/02/2020,Socialista,30,Murcia,Carmen,365,1972-10-22,"['XII', 'XIV']",carmen.banos@congreso.es,www.congreso.es/docu/imgweb/diputados/365_14.jpg,https://twitter.com/carmen_banos,,,,,,XII,,XIV,https://www.instagram.com/cbanos/,,,,,,,,,49
Barandiaran Benito,EAJ-PNV,"Barandiaran Benito, Íñigo",1,21/11/2019,Vasco (EAJ-PNV),20,Gipuzkoa,Íñigo,97,1959-02-19,"['XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/97_14.jpg,https://twitter.com/inibaran,https://www.facebook.com/inigo.barandiaran.59,,,,XI,XII,XIII,XIV,,,,,,,,,,63
Bas Corugeira,PP,"Bas Corugeira, Javier",1,21/11/2019,Popular en el Congreso,36,Pontevedra,Javier,118,1963-03-13,['XIV'],javierbas@congreso.es,www.congreso.es/docu/imgweb/diputados/118_14.jpg,https://twitter.com/javierbasco,,,,,,,,XIV,,,,,,,,,,59
Bassa Coll,ERC-S,"Bassa Coll, Montserrat",2,26/11/2019,Republicano,17,Girona,Montserrat,192,1965-04-20,"['XIII', 'XIV']",montse.bassa@congreso.es,www.congreso.es/docu/imgweb/diputados/192_14.jpg,https://twitter.com/BassaMontse,https://www.facebook.com/montse.bassa,,,,,,XIII,XIV,,,,,,,,,,57
Batet Lamaña,PSC-PSOE,"Batet Lamaña, Meritxell",2,26/11/2019,Socialista,8,Barcelona,Meritxell,215,1973-03-19,"['VIII', 'IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",meritxell.batet@congreso.es,www.congreso.es/docu/imgweb/diputados/215_14.jpg,https://twitter.com/meritxell_batet,,,IX,X,XI,XII,XIII,XIV,https://www.instagram.com/meritxell_batet/,,,,VIII,,,,,49
Bel Accensi,JxCat-JUNTS (PDeCAT),"Bel Accensi, Ferran",1,19/11/2019,Plural,43,Tarragona,Ferran,14,1965-06-01,"['XI', 'XII', 'XIV']",ferran.bel@congreso.es,www.congreso.es/docu/imgweb/diputados/14_14.jpg,https://twitter.com/ferran_bel,https://www.facebook.com/FerranBelAccensi/,,,,XI,XII,,XIV,http://instagram.com/Ferranbel,,,,,https://www.linkedin.com/in/ferran-bel-i-accensi-%F0%9F%8E%97-5b156425/,,,,57
Belarra Urteaga,UP,"Belarra Urteaga, Ione",2,22/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,31,Navarra,Ione,139,1987-09-25,"['XI', 'XII', 'XIII', 'XIV']",ione.belarra@congreso.es,www.congreso.es/docu/imgweb/diputados/139_14.jpg,https://twitter.com/ionebelarra,https://www.facebook.com/IoneBelarra/,,,,XI,XII,XIII,XIV,https://www.instagram.com/ionebelarra/,,,,,,,,,34
Beltrán Villalba,PP,"Beltrán Villalba, Ana María",2,27/11/2019,Popular en el Congreso,28,Madrid,Ana María,260,1966-01-16,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/260_14.jpg,https://twitter.com/abeltran_ana,,,,,,,XIII,XIV,,,,,,,,,,56
Berja Vega,PSOE,"Berja Vega, Laura",2,20/11/2019,Socialista,23,Jaén,Laura,70,1986-07-05,"['XIII', 'XIV']",laura.berja@congreso.es,www.congreso.es/docu/imgweb/diputados/70_14.jpg,https://twitter.com/lauraberja86,,,,,,,XIII,XIV,,,,,,,,,,36
Bermúdez de Castro Fernández,PP,"Bermúdez de Castro Fernández, José Antonio",1,25/11/2019,Popular en el Congreso,37,Salamanca,José Antonio,181,1959-09-05,"['VI', 'VII', 'VIII', 'IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/181_14.jpg,,,,IX,X,XI,XII,XIII,XIV,,,VI,VII,VIII,,,,,62
Betoret Coll,PP,"Betoret Coll, Vicente",1,26/11/2019,Popular en el Congreso,46,Valencia/València,Vicente,228,1972-09-06,"['XIII', 'XIV']",vicente.betoret@congreso.es,www.congreso.es/docu/imgweb/diputados/228_14.jpg,https://twitter.com/VicenteBetoret,,,,,,,XIII,XIV,,,,,,,,,,49
Blanquer Alcaraz,PSOE,"Blanquer Alcaraz, Patricia",2,20/11/2019,Socialista,3,Alicante/Alacant,Patricia,71,1973-05-12,"['X', 'XI', 'XII', 'XIII', 'XIV']",patricia.blanquer@congreso.es,www.congreso.es/docu/imgweb/diputados/71_14.jpg,https://twitter.com/Patri_Blanquer,https://www.facebook.com/patricia.blanqueralcaraz,http://www.patriciablanquer.es/,,X,XI,XII,XIII,XIV,,,,,,,https://www.youtube.com/user/SraPatriciaBlanquer,,,49
Boadella Esteve,JxCat-JUNTS (PDeCAT),"Boadella Esteve, Genís",1,19/11/2019,Plural,8,Barcelona,Genís,24,1979-03-20,['XIV'],genis.boadella@congreso.es,www.congreso.es/docu/imgweb/diputados/24_14.jpg,https://twitter.com/genisboadella,,,,,,,,XIV,,,,,,,,,,43
Borrás Pabón,Vox,"Borrás Pabón, Mireia",2,22/11/2019,VOX,28,Madrid,Mireia,142,1986-10-14,['XIV'],mireia.borras@congreso.es,www.congreso.es/docu/imgweb/diputados/142_14.jpg,https://twitter.com/_mireiaborras,,,,,,,,XIV,,,,,,,,,,35
Borrego Cortés,PP,"Borrego Cortés, Isabel María",2,21/11/2019,Popular en el Congreso,30,Murcia,Isabel María,130,1968-05-11,"['X', 'XI', 'XII', 'XIII', 'XIV']",isabel.borrego@congreso.es,www.congreso.es/docu/imgweb/diputados/130_14.jpg,https://twitter.com/borrego_corte,,,,X,XI,XII,XIII,XIV,,,,,,,,,,54
Botella Gómez,PSOE,"Botella Gómez, Ana María",2,26/11/2019,Socialista,46,Valencia/València,Ana María,238,1958-02-12,"['XI', 'XII', 'XIII', 'XIV']",ana.botella@congreso.es,www.congreso.es/docu/imgweb/diputados/238_14.jpg,https://twitter.com/AnaBotellaPSOE,,,,,XI,XII,XIII,XIV,,,,,,,,,,64
Botran Pahissa,CUP-PR,"Botran Pahissa, Albert",1,21/11/2019,Mixto,8,Barcelona,Albert,87,1984-01-14,['XIV'],albert.botran@congreso.es,www.congreso.es/docu/imgweb/diputados/87_14.jpg,https://twitter.com/albertbotran,,,,,,,,XIV,,,,,,,,,,38
Bravo Barco,PSOE,"Bravo Barco, Eva",2,27/11/2019,Socialista,11,Cádiz,Eva,281,1976-05-10,"['XIII', 'XIV']",eva.bravo@congreso.es,www.congreso.es/docu/imgweb/diputados/281_14.jpg,https://twitter.com/EvaBravoBarco,https://www.facebook.com/EvaBravoPSOE/,,,,,,XIII,XIV,,,,,,,,,,46
Bueno Campanario,PSOE,"Bueno Campanario, Eva Patricia",2,28/11/2019,Socialista,41,Sevilla,Eva Patricia,314,1971-05-29,"['XIII', 'XIV']",evapatricia.bueno@congreso.es,www.congreso.es/docu/imgweb/diputados/314_14.jpg,https://twitter.com/evapatriciab,,,,,,,XIII,XIV,,,,,,,,,,51
Bueno Pinto,UP,"Bueno Pinto, José Luis",1,30/06/2022,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,11,Cádiz,José Luis,392,1985-11-19,['XIV'],joseluis.bueno@congreso.es,www.congreso.es/docu/imgweb/diputados/392_14.jpg,https://twitter.com/buenopin,https://www.facebook.com/joseluisbuenopinto/,,,,,,,XIV,https://www.instagram.com/joseluisbuenopinto/,,,,,,,,,36
Bustamante Martín,UP,"Bustamante Martín, Miguel Ángel",1,09/06/2021,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,41,Sevilla,Miguel Ángel,385,1984-08-01,"['XII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/385_14.jpg,,,,,,,XII,,XIV,,,,,,,,,,38
Caballero Gutiérrez,PSOE,"Caballero Gutiérrez, Helena",2,28/11/2019,Socialista,47,Valladolid,Helena,320,1959-07-13,"['XIII', 'XIV']",helena.caballero@congreso.es,www.congreso.es/docu/imgweb/diputados/320_14.jpg,https://twitter.com/Caballerohelena,,,,,,,XIII,XIV,,,,,,,,,,63
Cabezón Casas,PP,"Cabezón Casas, Tomás",1,19/11/2019,Popular en el Congreso,42,Soria,Tomás,28,1981-12-07,"['XIII', 'XIV']",tomas.cabezon@congreso.es,www.congreso.es/docu/imgweb/diputados/28_14.jpg,https://twitter.com/tcabcas,,,,,,,XIII,XIV,,,,,,,,,,40
Callejas Cano,PP,"Callejas Cano, Juan Antonio",1,19/11/2019,Popular en el Congreso,13,Ciudad Real,Juan Antonio,35,1974-10-24,['XIV'],juanantonio.callejas@congreso.es,www.congreso.es/docu/imgweb/diputados/35_14.jpg,https://twitter.com/jacallejascano,https://www.facebook.com/Juan-Antonio-Callejas-116452226456747/,,,,,,,XIV,https://www.instagram.com/juanantoniocallejascano/,,,,,https://www.linkedin.com/in/juan-antonio-callejas-cano-a2807b83/,https://www.youtube.com/user/drcallejas,,,47
Calvo Gómez,JxCat-JUNTS (Junts),"Calvo Gómez, Pilar",2,16/03/2021,Plural,8,Barcelona,Pilar,381,1963-05-03,['XIV'],pilar.calvo@congreso.es,www.congreso.es/docu/imgweb/diputados/381_14.jpg,https://twitter.com/pilarcalvo13,,http://pilarcalvo.com/,,,,,,XIV,,,,,,https://www.linkedin.com/in/pilarcalvo/,,,,59
Calvo Liste,Vox,"Calvo Liste, Pablo Juan",1,26/11/2019,VOX,24,León,Pablo Juan,213,1965-02-17,['XIV'],pablo.calvo@congreso.es,www.congreso.es/docu/imgweb/diputados/213_14.jpg,https://twitter.com/pcalvoliste,,,,,,,,XIV,,,,,,,,,,57
Calvo Poyato,PSOE,"Calvo Poyato, Carmen",2,27/11/2019,Socialista,28,Madrid,Carmen,258,1957-06-09,"['VIII', 'IX', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/258_14.jpg,https://twitter.com/carmencalvo_,,,IX,,,,XIII,XIV,,,,,VIII,,,,,65
Cambronero Piqueras,Cs,"Cambronero Piqueras, Pablo",1,20/11/2019,Mixto,41,Sevilla,Pablo,58,1979-09-01,"['XIII', 'XIV']",pablo.cambronero@congreso.es,www.congreso.es/docu/imgweb/diputados/58_14.jpg,https://twitter.com/PabloCamPiq,,,,,,,XIII,XIV,,,,,,,,,,42
Canales Duque,PSOE,"Canales Duque, Mariana de Gracia",2,18/11/2019,Socialista,16,Cuenca,Mariana de Gracia,3,1975-11-01,"['XIII', 'XIV']",gracia.canales@congreso.es,www.congreso.es/docu/imgweb/diputados/3_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,46
Cantera de Castro,PSOE,"Cantera de Castro, Zaida",2,19/11/2019,Socialista,28,Madrid,Zaida,38,1977-06-06,"['XI', 'XII', 'XIII', 'XIV']",zcantera@congreso.es,www.congreso.es/docu/imgweb/diputados/38_14.jpg,https://twitter.com/ZaidaCantera,,,,,XI,XII,XIII,XIV,,,,,,,,,,45
Cañadell Salvia,JxCat-JUNTS (PDeCAT),"Cañadell Salvia, Concep",2,19/11/2019,Plural,25,Lleida,Concep,21,1977-10-21,['XIV'],concep.canadell@congreso.es,www.congreso.es/docu/imgweb/diputados/21_14.jpg,https://twitter.com/conceptermens,,,,,,,,XIV,https://www.instagram.com/canadellsalvia/,,,,,,,,,44
Cañizares Pacheco,Vox,"Cañizares Pacheco, Inés María",2,25/11/2019,VOX,45,Toledo,Inés María,152,1970-09-27,['XIV'],ines.canizares@congreso.es,www.congreso.es/docu/imgweb/diputados/152_14.jpg,https://twitter.com/InesCanizares,,,,,,,,XIV,,,,,,,,,,51
Capdevila i Esteve,ERC-S,"Capdevila i Esteve, Joan",1,25/11/2019,Republicano,8,Barcelona,Joan,172,1965-07-12,"['XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/172_14.jpg,https://twitter.com/capdevilajoan,https://www.facebook.com/joancapdevila,,,,XI,XII,XIII,XIV,,,,,,,,,,57
Carazo Hermoso,PP,"Carazo Hermoso, Eduardo",1,26/11/2019,Popular en el Congreso,47,Valladolid,Eduardo,245,1990-01-06,['XIV'],eduardo.carazo@congreso.es,www.congreso.es/docu/imgweb/diputados/245_14.jpg,https://twitter.com/educarazo,https://www.facebook.com/edu.carazo,,,,,,,XIV,,,,,,,,,,32
Carcedo Roces,PSOE,"Carcedo Roces, María Luisa",2,27/11/2019,Socialista,33,Asturias,María Luisa,270,1953-08-30,"['VIII', 'IX', 'X', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/270_14.jpg,https://twitter.com/luisacarcedo,,,IX,X,,,XIII,XIV,,,,,VIII,,,,,68
Carrillo de los Reyes,PSOE,"Carrillo de los Reyes, Beatriz Micaela",2,27/11/2019,Socialista,41,Sevilla,Beatriz Micaela,280,1975-06-02,"['XIII', 'XIV']",beatriz.carrillo@congreso.es,www.congreso.es/docu/imgweb/diputados/280_14.jpg,https://twitter.com/beamcarrillo,,,,,,,XIII,XIV,,,,,,,,,,47
Carvalho Dantas,ERC-S,"Carvalho Dantas, María",2,26/11/2019,Republicano,8,Barcelona,María,190,1969-05-21,"['XIII', 'XIV']",maria.dantas@congreso.es,www.congreso.es/docu/imgweb/diputados/190_14.jpg,https://twitter.com/_Maria_Dantas_,,,,,,,XIII,XIV,,,,,,,,,,53
Casares Hontañón,PSOE,"Casares Hontañón, Pedro",1,02/12/2019,Socialista,39,Cantabria,Pedro,347,1983-10-05,['XIV'],pedro.casares@congreso.es,www.congreso.es/docu/imgweb/diputados/347_14.jpg,https://twitter.com/pedro_casares,,,,,,,,XIV,https://www.instagram.com/_pedrocasares_,,,,,,,,,38
Casero Ávila,PP,"Casero Ávila, Alberto",1,27/11/2019,Popular en el Congreso,10,Cáceres,Alberto,283,1978-11-15,"['XIII', 'XIV']",alberto.casero@congreso.es,www.congreso.es/docu/imgweb/diputados/283_14.jpg,https://twitter.com/AlbertoCasero,,,,,,,XIII,XIV,,,,,,,,,,43
Castellón Rubio,PP,"Castellón Rubio, Miguel Ángel",1,20/11/2019,Popular en el Congreso,4,Almería,Miguel Ángel,74,1979-01-22,['XIV'],miguelangelcastellon@congreso.es,www.congreso.es/docu/imgweb/diputados/74_14.jpg,https://twitter.com/mcastellonPP,,,,,,,,XIV,,,,,,,,,,43
Castillo López,PP,"Castillo López, Elena",2,20/11/2019,Popular en el Congreso,39,Cantabria,Elena,77,1976-10-02,['XIV'],elena.castillo@congreso.es,www.congreso.es/docu/imgweb/diputados/77_14.jpg,https://twitter.com/elenacastillopp,https://www.facebook.com/elena.castillo.lopez,,,,,,,XIV,https://www.instagram.com/elena_castillo_lopez/,,,,,,,,,45
Cerdán León,PSOE,"Cerdán León, Santos",1,25/11/2019,Socialista,31,Navarra,Santos,163,1969-05-04,"['XIII', 'XIV']",santos.cerdan@congreso.es,www.congreso.es/docu/imgweb/diputados/163_14.jpg,https://twitter.com/santicl,,,,,,,XIII,XIV,,,,,,,,,,53
Cerqueiro González,PsdeG-PSOE,"Cerqueiro González, Javier",1,20/11/2019,Socialista,27,Lugo,Javier,47,1969-02-20,['XIV'],javier.cerqueiro@congreso.es,www.congreso.es/docu/imgweb/diputados/47_14.jpg,,,,,,,,,XIV,,,,,,,,,,53
Chamorro Delmo,Vox,"Chamorro Delmo, Ricardo",1,21/11/2019,VOX,13,Ciudad Real,Ricardo,125,1977-01-01,"['XIII', 'XIV']",ricardo.chamorro@congreso.es,www.congreso.es/docu/imgweb/diputados/125_14.jpg,https://twitter.com/rchamode,,,,,,,XIII,XIV,,,,,,,,,,45
Clavell López,PP,"Clavell López, Óscar",1,21/11/2019,Popular en el Congreso,12,Castellón/Castelló,Óscar,108,1978-09-07,"['XI', 'XII', 'XIII', 'XIV']",oscar.clavell@congreso.es,www.congreso.es/docu/imgweb/diputados/108_14.jpg,https://twitter.com/OscarClavell,https://www.facebook.com/oscar.clavell.7,,,,XI,XII,XIII,XIV,https://www.instagram.com/oscarclavell/,,,,,,,,,43
Constenla Carbón,PP,"Constenla Carbón, Juan Manuel",1,02/02/2021,Popular en el Congreso,36,Pontevedra,Juan Manuel,378,1964-06-24,['XIV'],juan.constenla@congreso.es,www.congreso.es/docu/imgweb/diputados/378_14.jpg,,,,,,,,,XIV,,,,,,,,,,58
Contreras Peláez,Vox,"Contreras Peláez, Francisco José",1,26/11/2019,VOX,41,Sevilla,Francisco José,229,1964-02-17,['XIV'],fj.contreras@congreso.es,www.congreso.es/docu/imgweb/diputados/229_14.jpg,https://twitter.com/fjconpe,,,,,,,,XIV,,,,,,,,,,58
Cortés Carballo,PP,"Cortés Carballo, Mario",1,28/11/2019,Popular en el Congreso,29,Málaga,Mario,317,1977-10-25,['XIV'],mario.cortes@congreso.es,www.congreso.es/docu/imgweb/diputados/317_14.jpg,,,,,,,,,XIV,,,,,,https://www.linkedin.com/in/mario-cort%C3%A9s-carballo-a2b84857/,,,,44
Cortés Gómez,ECP-GUAYEM EL CANVI,"Cortés Gómez, Ismael",1,02/12/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,43,Tarragona,Ismael,350,1985-09-06,"['XIII', 'XIV']",ismael.cortes@congreso.es,www.congreso.es/docu/imgweb/diputados/350_14.jpg,https://twitter.com/Ismael_CortesG,,,,,,,XIII,XIV,,,,,,,,,,36
