,District,Name,Party,Office Room,Phone,Committee Assignment,State
18,19th,"Lofgren, Zoe",D,1401 LHOB,(202) 225-3072,"House AdministrationSelect Committee to Investigate the January 6th AttackJoint Committee of Congress on the LibraryJudiciaryModernization of CongressScience, Space, and Technology",California
19,20th,"Panetta, Jimmy",D,406 CHOB,(202) 225-2861,AgricultureArmed ServicesWays and Means,California
20,21st,"Valadao, David G.",R,1728 LHOB,(202) 225-4695,Appropriations,California
21,22nd,"Nunes, Devin- Vacancy",R,1013 LHOB,(202) 225-2523,,California
22,23rd,"McCarthy, Kevin",R,2468 RHOB,(202) 225-2915,,California
23,24th,"Carbajal, Salud",D,2331 RHOB,(202) 225-3601,AgricultureArmed ServicesTransportation and Infrastructure,California
24,25th,"Garcia, Mike",R,1535 LHOB,(202) 225-1956,"AppropriationsScience, Space, and Technology",California
25,26th,"Brownley, Julia",D,2262 RHOB,(202) 225-5811,Climate CrisisNatural ResourcesTransportation and InfrastructureVeterans' Affairs,California
26,27th,"Chu, Judy",D,2423 RHOB,(202) 225-5464,BudgetSmall BusinessWays and Means,California
27,28th,"Schiff, Adam",D,2309 RHOB,(202) 225-4176,IntelligenceSelect Committee to Investigate the January 6th Attack,California
28,29th,"Cárdenas, Tony",D,2438 RHOB,(202) 225-6131,Energy and Commerce,California
29,30th,"Sherman, Brad",D,2181 RHOB,(202) 225-5911,"Financial ServicesForeign AffairsScience, Space, and Technology",California
30,31st,"Aguilar, Pete",D,109 CHOB,(202) 225-3201,AppropriationsHouse AdministrationSelect Committee to Investigate the January 6th Attack,California
31,32nd,"Napolitano, Grace",D,1610 LHOB,(202) 225-5256,Natural ResourcesTransportation and Infrastructure,California
32,33rd,"Lieu, Ted",D,403 CHOB,(202) 225-3976,Foreign AffairsJudiciary,California
33,34th,"Gomez, Jimmy",D,1530 LHOB,(202) 225-6235,Oversight and ReformWays and Means,California
34,35th,"Torres, Norma",D,2227 RHOB,(202) 225-6161,AppropriationsRules,California
35,36th,"Ruiz, Raul",D,2342 RHOB,(202) 225-5330,Energy and CommerceVeterans' Affairs,California
36,37th,"Bass, Karen",D,2021 RHOB,(202) 225-7084,Foreign AffairsJudiciary,California
37,38th,"Sánchez, Linda",D,2329 RHOB,(202) 225-6676,Ways and Means,California
38,39th,"Kim, Young",R,1306 LHOB,(202) 225-4111,"Foreign AffairsSmall BusinessScience, Space, and Technology",California
39,40th,"Roybal-Allard, Lucille",D,2083 RHOB,(202) 225-1766,Appropriations,California
40,41st,"Takano, Mark",D,420 CHOB,(202) 225-2305,Education and LaborVeterans' Affairs,California
41,42nd,"Calvert, Ken",R,2205 RHOB,(202) 225-1986,Appropriations,California
42,43rd,"Waters, Maxine",D,2221 RHOB,(202) 225-2201,Financial ServicesSelect Subcommittee on the Coronavirus Crisis,California
43,44th,"Barragán, Nanette",D,2246 RHOB,(202) 225-8220,Homeland SecurityEnergy and Commerce,California
44,45th,"Porter, Katie",D,1117 LHOB,(202) 225-5611,Oversight and ReformNatural Resources,California
45,46th,"Correa, J. Luis",D,2301 RHOB,(202) 225-2965,AgricultureHomeland SecurityJudiciary,California
46,47th,"Lowenthal, Alan",D,108 CHOB,(202) 225-7924,Natural ResourcesTransportation and Infrastructure,California
47,48th,"Steel, Michelle",R,1113 LHOB,(202) 225-2415,Education and LaborTransportation and Infrastructure,California
48,49th,"Levin, Mike",D,1030 LHOB,(202) 225-3906,Climate CrisisNatural ResourcesVeterans' Affairs,California
49,50th,"Issa, Darrell",R,2300 RHOB,(202) 225-5672,Foreign AffairsJudiciary,California
50,51st,"Vargas, Juan",D,2244 RHOB,(202) 225-8045,Financial ServicesForeign Affairs,California
51,52nd,"Peters, Scott",D,1201 LHOB,(202) 225-0508,BudgetEnergy and Commerce,California
52,53rd,"Jacobs, Sara",D,1232 LHOB,(202) 225-2040,Armed ServicesSelect Committee Economic Disparity and Fairness in GrowthForeign Affairs,California
0,1st,"DeGette, Diana",D,2111 RHOB,(202) 225-4431,Energy and CommerceNatural Resources,Colorado
1,2nd,"Neguse, Joe",D,1419 LHOB,(202) 225-2161,Climate CrisisNatural ResourcesJudiciaryRules,Colorado
2,3rd,"Boebert, Lauren",R,1609 LHOB,(202) 225-4761,BudgetNatural Resources,Colorado
3,4th,"Buck, Ken",R,2455 RHOB,(202) 225-4676,Foreign AffairsJudiciary,Colorado
4,5th,"Lamborn, Doug",R,2371 RHOB,(202) 225-4422,Armed ServicesNatural Resources,Colorado
5,6th,"Crow, Jason",D,1229 LHOB,(202) 225-7882,Armed ServicesIntelligenceSmall Business,Colorado
6,7th,"Perlmutter, Ed",D,1226 LHOB,(202) 225-2645,"Financial ServicesModernization of CongressRulesScience, Space, and Technology",Colorado
0,1st,"Larson, John B.",D,1501 LHOB,(202) 225-2265,Ways and Means,Connecticut
1,2nd,"Courtney, Joe",D,2449 RHOB,(202) 225-2076,Armed ServicesEducation and Labor,Connecticut
2,3rd,"DeLauro, Rosa L.",D,2413 RHOB,(202) 225-3661,Appropriations,Connecticut
3,4th,"Himes, Jim",D,2137 RHOB,(202) 225-5541,Financial ServicesSelect Committee Economic Disparity and Fairness in GrowthIntelligence,Connecticut
4,5th,"Hayes, Jahana",D,1415 LHOB,(202) 225-4476,AgricultureEducation and Labor,Connecticut
0,At Large,"Blunt Rochester, Lisa",D,1724 LHOB,(202) 225-4165,Energy and Commerce,Delaware
0,Delegate,"Norton, Eleanor Holmes",D,2136 RHOB,(202) 225-8050,Oversight and ReformTransportation and Infrastructure,District of Columbia
0,1st,"Gaetz, Matt",R,1721 LHOB,(202) 225-4136,Armed ServicesJudiciary,Florida
1,2nd,"Dunn, Neal",R,316 CHOB,(202) 225-5235,Energy and Commerce,Florida
2,3rd,"Cammack, Kat",R,1626 LHOB,(202) 225-5744,AgricultureSelect Committee Economic Disparity and Fairness in GrowthHomeland Security,Florida
3,4th,"Rutherford, John",R,1711 LHOB,(202) 225-2501,AppropriationsEthics,Florida
4,5th,"Lawson, Al",D,2437 RHOB,(202) 225-0123,AgricultureFinancial Services,Florida
5,6th,"Waltz, Michael",R,213 CHOB,(202) 225-2706,"Armed ServicesScience, Space, and Technology",Florida
6,7th,"Murphy, Stephanie",D,1710 LHOB,(202) 225-4035,Armed ServicesSelect Committee to Investigate the January 6th AttackWays and Means,Florida
7,8th,"Posey, Bill",R,2150 RHOB,(202) 225-3671,"Financial ServicesScience, Space, and Technology",Florida
8,9th,"Soto, Darren",D,2353 RHOB,(202) 225-9889,Energy and CommerceNatural Resources,Florida
9,10th,"Demings, Val",D,217 CHOB,(202) 225-2176,Homeland SecurityIntelligenceJudiciary,Florida
10,11th,"Webster, Daniel",R,2184 RHOB,(202) 225-1002,"Natural ResourcesTransportation and InfrastructureScience, Space, and Technology",Florida
11,12th,"Bilirakis, Gus M.",R,2354 RHOB,(202) 225-5755,Energy and Commerce,Florida
12,13th,"Crist, Charlie",D,215 CHOB,(202) 225-5961,"AppropriationsScience, Space, and Technology",Florida
13,14th,"Castor, Kathy",D,2052 RHOB,(202) 225-3376,Climate CrisisEnergy and Commerce,Florida
14,15th,"Franklin, C. Scott",R,1517 LHOB,(202) 225-1252,Armed ServicesOversight and Reform,Florida
15,16th,"Buchanan, Vern",R,2110 RHOB,(202) 225-5015,Ways and Means,Florida
16,17th,"Steube, W. Gregory",R,2457 RHOB,(202) 225-5792,Foreign AffairsJudiciary,Florida
17,18th,"Mast, Brian",R,2182 RHOB,(202) 225-3026,Foreign AffairsTransportation and Infrastructure,Florida
18,19th,"Donalds, Byron",R,523 CHOB,(202) 225-2536,BudgetSelect Committee Economic Disparity and Fairness in GrowthOversight and ReformSmall Business,Florida
19,20th,"Cherfilus-McCormick, Sheila",D,2365 RHOB,(202) 225-1313,Education and LaborVeterans' Affairs,Florida
20,21st,"Frankel, Lois",D,2305 RHOB,(202) 225-9890,AppropriationsVeterans' Affairs,Florida
21,22nd,"Deutch, Ted",D,2323 RHOB,(202) 225-3001,Foreign AffairsJudiciaryEthics,Florida
22,23rd,"Wasserman Schultz, Debbie",D,1114 LHOB,(202) 225-7931,AppropriationsOversight and Reform,Florida
23,24th,"Wilson, Frederica",D,2445 RHOB,(202) 225-4506,Education and LaborTransportation and Infrastructure,Florida
24,25th,"Diaz-Balart, Mario",R,374 CHOB,(202) 225-4211,Appropriations,Florida
25,26th,"Gimenez, Carlos A.",R,419 CHOB,(202) 225-2778,"Homeland SecurityTransportation and InfrastructureScience, Space, and Technology",Florida
26,27th,"Salazar, Maria Elvira",R,1616 LHOB,(202) 225-3931,Foreign AffairsSmall Business,Florida
0,1st,"Carter, Buddy",R,2432 RHOB,(202) 225-5831,BudgetClimate CrisisEnergy and Commerce,Georgia
1,2nd,"Bishop Jr., Sanford D.",D,2407 RHOB,(202) 225-3631,AgricultureAppropriations,Georgia
2,3rd,"Ferguson, A. Drew",R,1032 LHOB,(202) 225-5901,Ways and Means,Georgia
3,4th,"Johnson, Henry C. ""Hank"" Jr.",D,2240 RHOB,(202) 225-1605,Oversight and ReformJudiciaryTransportation and Infrastructure,Georgia
4,5th,"Williams, Nikema",D,1406 LHOB,(202) 225-3801,Financial ServicesModernization of CongressTransportation and Infrastructure,Georgia
5,6th,"McBath, Lucy",D,1513 LHOB,(202) 225-4501,Education and LaborJudiciary,Georgia
6,7th,"Bourdeaux, Carolyn",D,1319 LHOB,(202) 225-4272,Transportation and InfrastructureSmall Business,Georgia
7,8th,"Scott, Austin",R,2417 RHOB,(202) 225-6531,AgricultureArmed Services,Georgia
8,9th,"Clyde, Andrew S.",R,521 CHOB,(202) 225-9893,Oversight and ReformHomeland Security,Georgia
9,10th,"Hice, Jody",R,404 CHOB,(202) 225-4101,Oversight and ReformNatural Resources,Georgia
10,11th,"Loudermilk, Barry",R,2133 RHOB,(202) 225-2931,Financial ServicesHouse AdministrationJoint Committee of Congress on the Library,Georgia
11,12th,"Allen, Rick",R,570 CHOB,(202) 225-2823,AgricultureEducation and Labor,Georgia
12,13th,"Scott, David",D,468 CHOB,(202) 225-2939,AgricultureFinancial Services,Georgia
13,14th,"Greene, Marjorie Taylor",R,1023 LHOB,(202) 225-5211,,Georgia
0,Delegate,"San Nicolas, Michael F. Q.",D,1632 LHOB,(202) 225-1188,Financial ServicesNatural Resources,Guam
0,1st,"Case, Ed",D,2210 RHOB,(202) 225-2726,AppropriationsNatural Resources,Hawaii
1,2nd,"Kahele, Kaialiʻi",D,1205 LHOB,(202) 225-4906,Armed ServicesTransportation and Infrastructure,Hawaii
0,1st,"Fulcher, Russ",R,1520 LHOB,(202) 225-6611,Education and LaborNatural Resources,Idaho
1,2nd,"Simpson, Mike",R,2084 RHOB,(202) 225-5531,Appropriations,Idaho
0,1st,"Rush, Bobby L.",D,2188 RHOB,(202) 225-4372,AgricultureEnergy and Commerce,Illinois
1,2nd,"Kelly, Robin",D,2416 RHOB,(202) 225-0773,Oversight and ReformEnergy and Commerce,Illinois
2,3rd,"Newman, Marie",D,1022 LHOB,(202) 225-5701,Transportation and InfrastructureSmall Business,Illinois
3,4th,"García, Jesús ""Chuy""",D,1519 LHOB,(202) 225-8203,Financial ServicesNatural ResourcesTransportation and Infrastructure,Illinois
4,5th,"Quigley, Mike",D,2078 RHOB,(202) 225-4061,AppropriationsIntelligence,Illinois
5,6th,"Casten, Sean",D,2440 RHOB,(202) 225-4561,"Financial ServicesClimate CrisisScience, Space, and Technology",Illinois
6,7th,"Davis, Danny K.",D,2159 RHOB,(202) 225-5006,Oversight and ReformWays and Means,Illinois
7,8th,"Krishnamoorthi, Raja",D,115 CHOB,(202) 225-3711,Oversight and ReformIntelligenceSelect Subcommittee on the Coronavirus Crisis,Illinois
8,9th,"Schakowsky, Jan",D,2367 RHOB,(202) 225-2111,BudgetEnergy and Commerce,Illinois
9,10th,"Schneider, Bradley",D,300 CHOB,(202) 225-4835,Foreign AffairsWays and Means,Illinois
10,11th,"Foster, Bill",D,2366 RHOB,(202) 225-3515,"Financial ServicesScience, Space, and TechnologySelect Subcommittee on the Coronavirus Crisis",Illinois
11,12th,"Bost, Mike",R,1211 LHOB,(202) 225-5661,Transportation and InfrastructureVeterans' Affairs,Illinois
12,13th,"Davis, Rodney",R,2079 RHOB,(202) 225-2371,AgricultureHouse AdministrationJoint Committee of Congress on the LibraryModernization of CongressTransportation and Infrastructure,Illinois
13,14th,"Underwood, Lauren",D,1130 LHOB,(202) 225-2976,AppropriationsVeterans' Affairs,Illinois
14,15th,"Miller, Mary E.",R,1529 LHOB,(202) 225-5271,AgricultureEducation and Labor,Illinois
15,16th,"Kinzinger, Adam",R,2245 RHOB,(202) 225-3635,Foreign AffairsEnergy and CommerceSelect Committee to Investigate the January 6th Attack,Illinois
16,17th,"Bustos, Cheri",D,1233 LHOB,(202) 225-5905,AgricultureAppropriations,Illinois
17,18th,"LaHood,Darin",R,1424 LHOB,(202) 225-6201,IntelligenceWays and Means,Illinois
0,1st,"Mrvan, Frank J.",D,1607 LHOB,(202) 225-2461,Education and LaborVeterans' Affairs,Indiana
1,2nd,"Walorski, Jackie",R,466 CHOB,(202) 225-3915,EthicsWays and Means,Indiana
2,3rd,"Banks, Jim",R,1713 LHOB,(202) 225-4436,Armed ServicesEducation and LaborVeterans' Affairs,Indiana
3,4th,"Baird, James",R,1314 LHOB,(202) 225-5037,"AgricultureScience, Space, and Technology",Indiana
4,5th,"Spartz, Victoria",R,1523 LHOB,(202) 225-2276,Education and LaborJudiciary,Indiana
5,6th,"Pence, Greg",R,211 CHOB,(202) 225-3021,Energy and Commerce,Indiana
6,7th,"Carson, André",D,2135 RHOB,(202) 225-4011,IntelligenceTransportation and Infrastructure,Indiana
7,8th,"Bucshon, Larry",R,2313 RHOB,(202) 225-4636,Energy and Commerce,Indiana
8,9th,"Hollingsworth, Trey",R,1641 LHOB,(202) 225-5315,Financial Services,Indiana
0,1st,"Hinson, Ashley",R,1429 LHOB,(202) 225-2911,AppropriationsBudget,Iowa
1,2nd,"Miller-Meeks, Mariannette",R,1716 LHOB,(202) 225-6576,Education and LaborHomeland SecuritySelect Subcommittee on the Coronavirus CrisisVeterans' Affairs,Iowa
2,3rd,"Axne, Cynthia",D,1034 LHOB,(202) 225-5476,AgricultureFinancial Services,Iowa
3,4th,"Feenstra, Randy",R,1440 LHOB,(202) 225-4426,"AgricultureBudgetScience, Space, and Technology",Iowa
0,1st,"Mann, Tracey",R,522 CHOB,(202) 225-2715,AgricultureVeterans' Affairs,Kansas
1,2nd,"LaTurner, Jake",R,1630 LHOB,(202) 225-6601,"Oversight and ReformHomeland SecurityScience, Space, and Technology",Kansas
2,3rd,"Davids, Sharice",D,1541 LHOB,(202) 225-2865,Transportation and InfrastructureSmall Business,Kansas
3,4th,"Estes, Ron",R,2411 RHOB,(202) 225-6216,Ways and Means,Kansas
0,1st,"Comer, James",R,2410 RHOB,(202) 225-3115,Education and LaborOversight and Reform,Kentucky
1,2nd,"Guthrie, S. Brett",R,2434 RHOB,(202) 225-3501,Energy and Commerce,Kentucky
2,3rd,"Yarmuth, John A.",D,402 CHOB,(202) 225-5401,Budget,Kentucky
3,4th,"Massie, Thomas",R,2453 RHOB,(202) 225-3465,JudiciaryTransportation and Infrastructure,Kentucky
4,5th,"Rogers, Harold",R,2406 RHOB,(202) 225-4601,Appropriations,Kentucky
5,6th,"Barr, Andy",R,2430 RHOB,(202) 225-4706,Financial ServicesForeign Affairs,Kentucky
0,1st,"Scalise, Steve",R,2049 RHOB,(202) 225-3015,Energy and CommerceSelect Subcommittee on the Coronavirus Crisis,Louisiana
1,2nd,"Carter, Troy A.",D,506 CHOB,(202) 225-6636,Transportation and InfrastructureSmall Business,Louisiana
2,3rd,"Higgins, Clay",R,572 CHOB,(202) 225-2031,Oversight and ReformHomeland Security,Louisiana
3,4th,"Johnson, Mike",R,568 CHOB,(202) 225-2777,Armed ServicesJudiciary,Louisiana
4,5th,"Letlow, Julia",R,1408 LHOB,(202) 225-8490,Appropriations,Louisiana
5,6th,"Graves, Garret",R,2402 RHOB,(202) 225-3901,Climate CrisisNatural ResourcesTransportation and Infrastructure,Louisiana
0,1st,"Pingree, Chellie",D,2162 RHOB,(202) 225-6116,AgricultureAppropriations,Maine
1,2nd,"Golden, Jared",D,1222 LHOB,(202) 225-6306,Armed ServicesSmall Business,Maine
0,1st,"Harris, Andy",R,2334 RHOB,(202) 225-5311,Appropriations,Maryland
1,2nd,"Ruppersberger, C. A. Dutch",D,2206 RHOB,(202) 225-3061,Appropriations,Maryland
2,3rd,"Sarbanes, John P.",D,2370 RHOB,(202) 225-4016,Oversight and ReformEnergy and Commerce,Maryland
3,4th,"Brown, Anthony",D,1323 LHOB,(202) 225-8699,Armed ServicesTransportation and Infrastructure,Maryland
4,5th,"Hoyer, Steny H.",D,1705 LHOB,(202) 225-4131,,Maryland
5,6th,"Trone, David",D,1110 LHOB,(202) 225-2721,AppropriationsVeterans' Affairs,Maryland
6,7th,"Mfume, Kweisi",D,2263 RHOB,(202) 225-4741,Education and LaborOversight and ReformSmall Business,Maryland
7,8th,"Raskin, Jamie",D,2242 RHOB,(202) 225-5341,Oversight and ReformHouse AdministrationSelect Committee to Investigate the January 6th AttackJudiciaryRulesSelect Subcommittee on the Coronavirus Crisis,Maryland
0,1st,"Neal, Richard E.",D,372 CHOB,(202) 225-5601,Joint Committee on TaxationWays and Means,Massachusetts
1,2nd,"McGovern, James",D,370 CHOB,(202) 225-6101,AgricultureRules,Massachusetts
2,3rd,"Trahan, Lori",D,2439 RHOB,(202) 225-3411,Energy and CommerceNatural Resources,Massachusetts
3,4th,"Auchincloss, Jake",D,1524 LHOB,(202) 225-5931,Financial ServicesTransportation and Infrastructure,Massachusetts
4,5th,"Clark, Katherine",D,2448 RHOB,(202) 225-2836,Appropriations,Massachusetts
5,6th,"Moulton, Seth",D,1127 LHOB,(202) 225-8020,Armed ServicesBudgetTransportation and Infrastructure,Massachusetts
6,7th,"Pressley, Ayanna",D,1108 LHOB,(202) 225-5111,Financial ServicesOversight and Reform,Massachusetts
7,8th,"Lynch, Stephen F.",D,2109 RHOB,(202) 225-8273,Financial ServicesOversight and ReformTransportation and Infrastructure,Massachusetts
8,9th,"Keating, William",D,2351 RHOB,(202) 225-3111,Armed ServicesForeign Affairs,Massachusetts
0,1st,"Bergman, Jack",R,566 CHOB,(202) 225-4735,Armed ServicesVeterans' Affairs,Michigan
1,2nd,"Huizenga, Bill",R,2232 RHOB,(202) 225-4401,Financial Services,Michigan
2,3rd,"Meijer, Peter",R,1508 LHOB,(202) 225-3831,"Foreign AffairsHomeland SecurityScience, Space, and Technology",Michigan
3,4th,"Moolenaar, John",R,117 CHOB,(202) 225-3561,Appropriations,Michigan
4,5th,"Kildee, Daniel",D,200 CHOB,(202) 225-3611,"BudgetScience, Space, and TechnologyWays and Means",Michigan
5,6th,"Upton, Fred",R,2183 RHOB,(202) 225-3761,Energy and Commerce,Michigan
6,7th,"Walberg, Tim",R,2266 RHOB,(202) 225-6276,Education and LaborEnergy and Commerce,Michigan
7,8th,"Slotkin, Elissa",D,1210 LHOB,(202) 225-4872,Armed ServicesHomeland SecurityVeterans' Affairs,Michigan
8,9th,"Levin, Andy",D,312 CHOB,(202) 225-4961,Education and LaborForeign Affairs,Michigan
9,10th,"McClain, Lisa C.",R,218 CHOB,(202) 225-2106,Armed ServicesEducation and Labor,Michigan
10,11th,"Stevens, Haley",D,1510 LHOB,(202) 225-8171,"Education and LaborScience, Space, and Technology",Michigan
11,12th,"Dingell, Debbie",D,116 CHOB,(202) 225-4071,Energy and CommerceNatural Resources,Michigan
12,13th,"Tlaib, Rashida",D,1628 LHOB,(202) 225-5126,Financial ServicesOversight and ReformNatural Resources,Michigan
13,14th,"Lawrence, Brenda",D,2463 RHOB,(202) 225-5802,AppropriationsOversight and Reform,Michigan
0,1st,"Hagedorn, Jim- Vacancy",R,1433 LHOB,(202) 225-2472,,Minnesota
1,2nd,"Craig, Angie",D,2442 RHOB,(202) 225-2271,AgricultureSelect Committee Economic Disparity and Fairness in GrowthEnergy and CommerceSmall Business,Minnesota
2,3rd,"Phillips, Dean",D,2452 RHOB,(202) 225-2871,Foreign AffairsModernization of CongressSmall BusinessEthics,Minnesota
3,4th,"McCollum, Betty",D,2256 RHOB,(202) 225-6631,AppropriationsNatural Resources,Minnesota
4,5th,"Omar, Ilhan",D,1730 LHOB,(202) 225-4755,Education and LaborForeign Affairs,Minnesota
5,6th,"Emmer, Tom",R,315 CHOB,(202) 225-2331,Financial Services,Minnesota
6,7th,"Fischbach, Michelle",R,1237 LHOB,(202) 225-2165,AgricultureJudiciaryRules,Minnesota
7,8th,"Stauber, Pete",R,461 CHOB,(202) 225-6211,Natural ResourcesTransportation and InfrastructureSmall Business,Minnesota
0,1st,"Kelly, Trent",R,2243 RHOB,(202) 225-4306,AgricultureArmed ServicesBudgetIntelligence,Mississippi
1,2nd,"Thompson, Bennie G.",D,2466 RHOB,(202) 225-5876,Homeland SecuritySelect Committee to Investigate the January 6th Attack,Mississippi
2,3rd,"Guest, Michael",R,418 CHOB,(202) 225-5031,Homeland SecurityTransportation and InfrastructureEthics,Mississippi
3,4th,"Palazzo, Steven",R,2349 RHOB,(202) 225-5772,Appropriations,Mississippi
0,1st,"Bush, Cori",D,563 CHOB,(202) 225-2406,Oversight and ReformJudiciary,Missouri
1,2nd,"Wagner, Ann",R,2350 RHOB,(202) 225-1621,Financial ServicesForeign Affairs,Missouri
2,3rd,"Luetkemeyer, Blaine",R,2230 RHOB,(202) 225-2956,Financial ServicesSmall Business,Missouri
3,4th,"Hartzler, Vicky",R,2235 RHOB,(202) 225-2876,AgricultureArmed Services,Missouri
4,5th,"Cleaver, Emanuel",D,2335 RHOB,(202) 225-4535,Financial ServicesHomeland SecurityModernization of Congress,Missouri
5,6th,"Graves, Sam",R,1135 LHOB,(202) 225-7041,Armed ServicesTransportation and Infrastructure,Missouri
6,7th,"Long, Billy",R,2454 RHOB,(202) 225-6536,Energy and Commerce,Missouri
7,8th,"Smith, Jason",R,2418 RHOB,(202) 225-4404,BudgetWays and Means,Missouri
0,At Large,"Rosendale, Matthew M.",R,1037 LHOB,(202) 225-3211,Natural ResourcesVeterans' Affairs,Montana
0,1st,"Fortenberry, Jeff- Vacancy",R,1514 LHOB,(202) 225-4806,,Nebraska
1,2nd,"Bacon, Don",R,1024 LHOB,(202) 225-4155,AgricultureArmed Services,Nebraska
2,3rd,"Smith, Adrian",R,502 CHOB,(202) 225-6435,Ways and Means,Nebraska
0,1st,"Titus, Dina",D,2464 RHOB,(202) 225-5965,Foreign AffairsHomeland SecurityTransportation and Infrastructure,Nevada
1,2nd,"Amodei, Mark",R,104 CHOB,(202) 225-6155,Appropriations,Nevada
2,3rd,"Lee, Susie",D,365 CHOB,(202) 225-3252,Appropriations,Nevada
3,4th,"Horsford, Steven",D,562 CHOB,(202) 225-9894,Armed ServicesBudgetWays and Means,Nevada
0,1st,"Pappas, Chris",D,319 CHOB,(202) 225-5456,Transportation and InfrastructureVeterans' Affairs,New Hampshire
1,2nd,"Kuster, Ann",D,320 CHOB,(202) 225-5206,AgricultureEnergy and Commerce,New Hampshire
0,1st,"Norcross, Donald",D,2427 RHOB,(202) 225-6501,"Armed ServicesEducation and LaborScience, Space, and Technology",New Jersey
1,2nd,"Van Drew, Jefferson",R,2447 RHOB,(202) 225-6572,Homeland SecurityTransportation and Infrastructure,New Jersey
2,3rd,"Kim, Andy",D,2444 RHOB,(202) 225-4765,Armed ServicesForeign AffairsSmall Business,New Jersey
